Ticker,Name,average_vol,average_open_vol,average_close_vol
AAOI,APPLIED OPTOELECTRONICS INC,495600,3700,18300
AAP,ADVANCE AUTO PARTS INC,676100,6200,86300
AAPL,APPLE INC,103234400,1100600,7750200
ABBV,ABBVIE INC,7242800,128700,961100
ABG,ASBURY AUTOMOTIVE GROUP,304200,2400,28100
ABNB,AIRBNB INC-CLASS A,5946800,82100,398400
ADBE,ADOBE INC,3565700,54800,351600
ADSK,AUTODESK INC,1820400,23600,169100
AFRM,AFFIRM HOLDINGS INC,12383400,73100,396700
ALGN,ALIGN TECHNOLOGY INC,763100,7500,70900
ALNY,ALNYLAM PHARMACEUTICALS INC,827500,7400,101600
AMBA,AMBARELLA INC,818400,10200,38800
AMD,ADVANCED MICRO DEVICES,70304800,381900,1320500
AMG,AFFILIATED MANAGERS GROUP,251600,1300,31500
AMP,AMERIPRISE FINANCIAL INC.,657500,7600,114500
AMZN,AMAZON.COM INC,3725100,45400,237600
ANET,ARISTA NETWORKS INC,2008400,41100,217300
ANSS,ANSYS INC,433100,6300,60100
APPN,APPIAN CORP,609800,10200,43000
ARKK,COMCAST CORP-CLASS A,18416100,116300,334200
ASML,ASML HOLDING NV-NY REG SHS,1060100,12600,66000
ASPS,ALTISOURCE PORTFOLIO SOL,46900,900,700
ATVI,ACTIVISION BLIZZARD INC,15337000,178100,1186100
AVGO,BROADCOM INC,2613100,32700,389800
AVLR,AVALARA INC,1029900,8800,57600
AXP,AMERICAN EXPRESS CO,4287900,70900,511800
AZO,AUTOZONE INC,166500,1500,20500
BA,BOEING CO/THE,10585700,112700,405900
BABA,ALIBABA GROUP HOLDING-SP ADR,24421800,305100,840700
BAC,BANK OF AMERICA CORP,51605400,654800,5212800
BGNE,BEIGENE LTD-ADR,293300,2400,19100
BIDU,BAIDU INC - SPON ADR,3576300,49300,328700
BIG,BIG LOTS INC,973700,9400,82300
BIIB,BIOGEN INC,1666400,17900,177300
BILI,BILIBILI INC-SPONSORED ADR,6296000,64100,215800
BKNG,BOOKING HOLDINGS INC,383500,4600,34100
BL,BLACKLINE INC,507400,3900,49400
BLK,BLACKROCK INC,693500,12000,87000
BLKB,BLACKBAUD INC,295800,2600,43800
BMRN,BIOMARIN PHARMACEUTICAL INC,1381000,12400,160200
BP,BP PLC-SPONS ADR,12672300,156000,192700
BUD,ANHEUSER-BUSCH INBEV SPN ADR,1596200,17700,43700
C,CITIGROUP INC,24269500,334200,2011300
CAKE,CHEESECAKE FACTORY INC/THE,866200,8500,60900
CAT,CATERPILLAR INC,3439200,60100,401600
CC,CHEMOURS CO/THE,1230400,18200,136300
CFLT,CONFLUENT INC-CLASS A,2868500,21100,106200
CMCSA,BANK OF AMERICA CORP,22989200,300900,3168100
CMG,CHIPOTLE MEXICAN GRILL INC,297200,2700,20700
CMI,CUMMINS INC,1103000,16600,154900
COHR,COHERENT INC,176100,900,30000
COHU,COHU INC,457200,7200,44700
COIN,COINBASE GLOBAL INC -CLASS A,4684900,53100,97500
COOP,MR COOPER GROUP INC,818300,6100,149300
COST,COSTCO WHOLESALE CORP,2635300,41900,362500
CP,CANADIAN PACIFIC RAILWAY LTD,5421200,17300,300100
CRI,CARTER'S INC,475600,2300,51500
CRM,SALESFORCE.COM INC,7044600,125500,684300
CRMT,AMERICA'S CAR-MART INC,71700,400,7400
CRS,CARPENTER TECHNOLOGY,416600,4500,66100
CRWD,CROWDSTRIKE HOLDINGS INC - A,4513500,75100,208500
CSGP,COSTAR GROUP INC,1886600,15400,185800
CTAS,CINTAS CORP,522500,6300,82400
CVNA,CARVANA CO,2840000,13800,159900
CYBR,CYBERARK SOFTWARE LTD/ISRAEL,413200,3600,25700
DAL,DELTA AIR LINES INC.,14501400,198700,613000
DASH,DOORDASH INC - A,4153400,28100,219900
DDOG,DATADOG INC - CLASS A,4339400,41300,389200
DE,DEERE & CO,1800300,29500,199800
DECK,DECKERS OUTDOOR CORP,359700,2500,26200
