,year,USA_gdp,USA_gdp_growth,EUU_gdp,EUU_gdp_growth,CHN_gdp,CHN_gdp_growth,EMU_gdp,EMU_gdp_growth,JPN_gdp,JPN_gdp_growth,DEU_gdp,DEU_gdp_growth,IND_gdp,IND_gdp_growth,SAU_gdp,SAU_gdp_growth,AUS_gdp,AUS_gdp_growth,KOR_gdp,KOR_gdp_growth,BRA_gdp,BRA_gdp_growth,ITA_gdp,ITA_gdp_growth,MEX_gdp,MEX_gdp_growth,RUS_gdp,RUS_gdp_growth,HKG_gdp,HKG_gdp_growth,SGP_gdp,SGP_gdp_growth
0,2021,23315080560000.0,5.94548476122172,17177419592825.0,5.39252102521584,17734062645371.4,8.1097925807738,14563282816938.9,5.32505710242472,4940877780755.33,1.65707111732294,4259934911821.64,2.62698726672524,3176295065497.24,8.68122873083119,833541236569.315,3.24092976848051,1552667363236.06,2.23621243944461,1810955871380.98,4.14532395430925,1608981456325.08,4.61942162067312,2107702842669.73,6.73727712298924,1272839334119.3,4.72056529768081,1778782625793.74,4.74958409996398,369176400967.427,6.34310619843421,396986899888.351,7.61396261502647
1,2020,21060473613000.0,-2.76780251140578,15369441264656.7,-5.67758066256542,14687673892882.0,2.23970185692298,13085484520637.5,-6.13853139607691,5040107754084.11,-4.50690454226634,3889668895299.62,-3.69678870538043,2667687951796.5,-6.59608052232176,703367841222.555,-4.13767037552624,1326901059123.21,-0.0508853360838941,1644312831906.17,-0.709415359397681,1448559976218.19,-3.87867633397198,1896755301518.14,-9.03995341122885,1090515389749.41,-7.98791234014749,1489362488439.76,-2.66375751111333,344932192028.051,-6.54500823932676,345295933898.674,-4.14310562126106
2,2019,21380976119000.0,2.29443907769311,15693403575262.4,1.805107054893,14279937500606.5,5.9505007536746,13418170804151.7,1.58206835204705,5123318151510.62,-0.240350840922716,3888226035921.56,1.05660389828289,2831552222519.99,3.73791851955785,803616264791.024,0.33378075529167,1392227864397.08,2.1713962244835,1651422932447.77,2.24397786011012,1873274432754.47,1.22077782360842,2011302198827.45,0.483198316597154,1269011767478.56,-0.199047772272948,1693113904262.89,2.19807571380863,363052489184.395,-1.67824646424685,375472731271.075,1.09567256732588
3,2018,20533057312000.0,2.9453848312678,15980834651544.9,2.06595299992662,13894817549374.2,6.74977383254181,13698192868965.1,1.78337860566837,5037835383110.97,0.584068067242868,3974443355019.6,0.981232606004738,2702929718960.46,6.45385134497769,816578674529.141,2.51416579969228,1428288504767.07,2.88304512347683,1724845615629.26,2.90740377377135,1916947014067.55,1.783666761634,2091932426266.98,0.925810941012742,1222408203104.3,2.19499472522698,1657329646183.62,2.80724541049418,361731070995.726,2.84693474269089,376998146500.593,3.66130499436235
4,2017,19477336549000.0,2.24192121597748,14764916098923.1,2.8384812727148,12310409370892.8,6.94720079330668,12679719281959.4,2.61779343060869,4930837369151.42,1.67533175166503,3690849152517.65,2.68023111405891,2651472946375.05,6.79538341897911,688586094412.68,-0.741528418233386,1326516328531.56,2.28218364248465,1623901496835.79,3.15963574012777,2063507864886.88,1.32286905404399,1961796197354.36,1.66785904106857,1158913035796.37,2.11312913549695,1574199387070.9,1.82579006355112,341273289534.466,3.7961221639337,343193352161.634,4.6614350486482
5,2016,18695110842000.0,1.66747207596187,13889010341919.9,1.97712598632877,11233276536737.2,6.84876220493844,11973697030154.2,1.86402426992913,5003677627544.24,0.753826745903538,3469853463945.53,2.22999986782015,2294797980509.01,8.25630550179086,644935682011.475,1.67066425675586,1206535157956.03,2.73054799209893,1500111596236.37,2.94688171508626,1795700168991.49,-3.27591690782192,1877071687633.78,1.29346273155907,1078490651625.31,2.63053242455089,1276786979221.81,0.193690071729534,320858250776.188,2.17542434971001,318832428519.725,3.56169799036049
6,2015,18206020741000.0,2.70636958176399,13552508209135.2,2.30705701046281,11061553079876.4,7.04132887877194,11675505654188.3,2.0495684690151,4444930651964.18,1.56062669674904,3357585719351.56,1.49193152760772,2103587813812.75,7.99625378571471,654269739552.019,4.10639386440421,1350615691821.28,2.1527359059391,1465773245547.15,2.80910326824133,1802214373741.32,-3.54576339269425,1836637711060.55,0.778304350716581,1171867608197.72,3.29315152833387,1363481063446.77,-1.97271922637542,309383627028.561,2.38783188301304,308004146057.608,2.97679931634806
7,2014,17550680174000.0,2.28777593255359,15649727528817.4,1.59757425719076,10475682920594.5,7.42576365632598,13510071267777.2,1.40260543481234,4896994405353.29,0.296205514142628,3889093051023.52,2.20954343134872,2039127446299.3,7.41022760508854,756350347320.381,3.65248566592824,1467545212521.8,2.57901711177597,1484318219633.63,3.2024537945736,2455993625159.37,0.503955740242247,2162009615996.54,-0.00454754236383792,1315351183524.54,2.84977325490688,2059241965490.83,0.736267221415574,291459356985.337,2.76241961679324,314851156183.411,3.93554027709007
8,2013,16843190993000.0,1.84187539518688,15294488981166.3,-0.0838216563847283,9570406235659.64,7.76615009763002,13196295674614.7,-0.219682323362605,5212328181166.18,2.0051001767726,3733804649549.03,0.437591303144671,1856722121394.42,6.38610640094825,746647127407.619,2.69928107085529,1576380424746.08,2.57875428825342,1370795199976.18,3.16470863647184,2472806919901.67,3.00482266944432,2141924094298.56,-1.84106545088248,1274443084716.57,1.35409196151679,2292473246621.08,1.75542214909368,275696879834.966,3.1015254889484,307576360584.992,4.81763099120676
9,2012,16253972230000.0,2.28068760319185,14642123679507.8,-0.699883405805537,8532229986993.65,7.86373644864966,12638778989120.2,-0.841832474822965,6272362996105.03,1.37475099920874,3527143188785.16,0.418497594217598,1827637859506.25,5.45638875297365,735974843348.664,5.41142278010331,1546892142709.84,3.902007806318,1278427634342.59,2.40253099246186,2465188674415.03,1.92117598576537,2086957656821.6,-2.98090576823772,1201089987015.45,3.64232267941347,2208295773643.15,4.02408615720979,262629441493.476,1.70031749232717,295087220933.024,4.43549759378537
