Date,MAN_PMI,MAN_NEWORDERS,MAN_EMPL,MAN_PROD,MAN_DELIV,MAN_INVENT,MAN_CUSTINV,MAN_PRICES,MAN_BACKLOG,MAN_EXPORTS,MAN_IMPORTS,NONMAN_NMI,NONMAN_BUSACT,NONMAN_NEWORD,NONMAN_EMPL,NONMAN_DELIV,NONMAN_INVENT,NONMAN_INVSENT,NONMAN_BACKLOG,NONMAN_PRICES,NONMAN_IMPORTS,NONMAN_EXPORTS
1948-01-01,51.7,53.3,54.8,59.1,36.3,45.3,,72.2,,,,,,,,,,,,,,
1948-02-01,50.2,51.1,55.8,55.2,37.1,43.9,,62.7,,,,,,,,,,,,,,
1948-03-01,43.3,43.9,44.0,47.8,32.7,44.5,,69.3,,,,,,,,,,,,,,
1948-04-01,45.4,44.5,43.9,49.5,41.6,46.1,,75.8,,,,,,,,,,,,,,
1948-05-01,49.5,51.2,51.8,52.1,40.4,47.0,,70.8,,,,,,,,,,,,,,
1948-06-01,53.0,58.1,50.8,56.8,38.4,54.7,,78.5,,,,,,,,,,,,,,
1948-07-01,48.4,50.4,49.1,51.4,36.8,51.1,,77.3,,,,,,,,,,,,,,
1948-08-01,45.1,46.0,46.1,51.0,31.2,46.6,,77.0,,,,,,,,,,,,,,
1948-09-01,42.1,40.6,46.1,47.9,28.3,45.2,,66.0,,,,,,,,,,,,,,
1948-10-01,47.2,52.1,47.5,52.7,28.7,45.4,,56.6,,,,,,,,,,,,,,
1948-11-01,42.4,43.2,44.0,48.9,28.0,42.6,,51.0,,,,,,,,,,,,,,
1948-12-01,35.0,34.5,39.0,42.1,17.7,37.0,,47.5,,,,,,,,,,,,,,
1949-01-01,32.9,31.4,34.1,42.0,16.6,36.6,,39.6,,,,,,,,,,,,,,
1949-02-01,31.3,34.2,28.3,39.6,13.1,34.9,,31.3,,,,,,,,,,,,,,
1949-03-01,34.5,42.1,31.1,41.9,12.4,33.3,,31.8,,,,,,,,,,,,,,
1949-04-01,35.5,42.3,31.6,44.1,16.2,27.9,,13.8,,,,,,,,,,,,,,
1949-05-01,32.6,41.1,29.0,38.2,15.5,25.5,,20.1,,,,,,,,,,,,,,
1949-06-01,31.6,39.8,27.2,38.4,15.0,24.1,,10.6,,,,,,,,,,,,,,
1949-07-01,39.0,49.1,34.8,47.0,22.4,21.5,,28.8,,,,,,,,,,,,,,
1949-08-01,47.0,55.7,40.0,58.5,33.0,26.8,,42.7,,,,,,,,,,,,,,
1949-09-01,52.3,58.0,51.4,60.3,39.9,35.8,,47.5,,,,,,,,,,,,,,
1949-10-01,51.0,58.9,43.7,54.5,46.1,40.6,,42.1,,,,,,,,,,,,,,
1949-11-01,51.0,58.7,42.9,55.7,51.5,31.3,,51.1,,,,,,,,,,,,,,
1949-12-01,57.3,53.1,52.6,63.3,52.2,41.7,,49.9,,,,,,,,,,,,,,
1950-01-01,59.1,62.3,57.7,64.3,56.3,43.6,,62.4,,,,,,,,,,,,,,
1950-02-01,60.5,62.5,51.1,66.7,68.0,46.4,,70.9,,,,,,,,,,,,,,
1950-03-01,62.1,61.8,56.9,65.8,72.0,48.8,,77.0,,,,,,,,,,,,,,
1950-04-01,68.1,71.0,63.4,74.8,68.8,50.6,,80.2,,,,,,,,,,,,,,
1950-05-01,74.7,76.6,69.8,78.1,82.9,58.2,,98.2,,,,,,,,,,,,,,
1950-06-01,76.6,82.6,71.9,79.1,76.5,62.1,,100.0,,,,,,,,,,,,,,
1950-07-01,77.5,80.3,72.5,77.1,89.4,62.7,,90.7,,,,,,,,,,,,,,
1950-08-01,75.8,77.1,72.3,78.7,81.7,62.3,,84.8,,,,,,,,,,,,,,
1950-09-01,68.1,66.4,72.2,68.6,73.7,55.2,,84.4,,,,,,,,,,,,,,
1950-10-01,59.2,49.0,65.6,62.9,70.3,50.6,,84.8,,,,,,,,,,,,,,
1950-11-01,63.1,57.2,66.7,63.6,79.1,48.3,,85.1,,,,,,,,,,,,,,
1950-12-01,67.1,67.7,65.1,62.5,87.5,49.7,,91.1,,,,,,,,,,,,,,
1951-01-01,67.8,67.9,67.8,63.0,88.7,48.0,,85.1,,,,,,,,,,,,,,
1951-02-01,69.3,70.0,73.7,61.4,93.3,42.1,,86.5,,,,,,,,,,,,,,
1951-03-01,65.5,61.0,72.0,61.2,85.1,47.4,,76.6,,,,,,,,,,,,,,
