Date,ISM_Manufacturing_Index,New_Orders
1/31/1948,51.7,53.3
2/29/1948,50.2,51.1
3/31/1948,43.3,43.9
4/30/1948,45.4,44.5
5/31/1948,49.5,51.2
6/30/1948,53,58.1
7/31/1948,48.4,50.4
8/31/1948,45.1,46
9/30/1948,42.1,40.6
10/31/1948,47.2,52.1
11/30/1948,42.4,43.2
12/31/1948,35,34.5
1/31/1949,32.9,31.4
2/28/1949,31.3,34.2
3/31/1949,34.5,42.1
4/30/1949,35.5,42.3
5/31/1949,32.6,41.1
6/30/1949,31.6,39.8
7/31/1949,39,49.1
8/31/1949,47,55.7
9/30/1949,52.3,58
10/31/1949,51,58.9
11/30/1949,51,58.7
12/31/1949,57.3,53.1
1/31/1950,59.1,62.3
2/28/1950,60.5,62.5
3/31/1950,62.1,61.8
4/30/1950,68.1,71
5/31/1950,74.7,76.6
6/30/1950,76.6,82.6
7/31/1950,77.5,80.3
8/31/1950,75.8,77.1
9/30/1950,68.1,66.4
10/31/1950,59.2,49
11/30/1950,63.1,57.2
12/31/1950,67.1,67.7
1/31/1951,67.8,67.9
2/28/1951,69.3,70
3/31/1951,65.5,61
4/30/1951,53.5,42.3
5/31/1951,50.7,45.2
6/30/1951,45.5,39.1
7/31/1951,42.1,38.2
8/31/1951,43.6,38.5
9/30/1951,48.1,48.2
10/31/1951,49.6,51.7
11/30/1951,47.2,49.3
12/31/1951,46.5,45.3
1/31/1952,44.7,46.8
2/29/1952,41.8,42.3
3/31/1952,40,43.7
4/30/1952,36.7,35.8
5/31/1952,39.5,43.9
6/30/1952,43.3,46.3
7/31/1952,48.3,69.4
8/31/1952,60.4,58.5
9/30/1952,56.1,60.3
10/31/1952,56.2,59.9
11/30/1952,56.8,58.8
12/31/1952,55.8,60.4
1/31/1953,59.4,64.6
2/28/1953,55.4,56
3/31/1953,50.5,47.2
4/30/1953,51.1,52
5/31/1953,48.9,49.3
6/30/1953,48.5,48.3
7/31/1953,46.3,44.2
8/31/1953,43.5,42.1
9/30/1953,40.2,39.9
10/31/1953,37.4,38
