Date,gdp,gdp_growth
1/1/1947,243.164,
4/1/1947,245.968,0.011531312
7/1/1947,249.585,0.014705165
10/1/1947,259.745,0.040707575
1/1/1948,265.742,0.023088029
4/1/1948,272.567,0.025682805
7/1/1948,279.196,0.024320626
10/1/1948,280.366,0.004190604
1/1/1949,275.034,-0.019017998
4/1/1949,271.351,-0.013391072
7/1/1949,272.889,0.005667936
10/1/1949,270.627,-0.008289085
1/1/1950,280.828,0.037693948
4/1/1950,290.383,0.034024385
7/1/1950,308.153,0.061195042
10/1/1950,319.945,0.038266705
1/1/1951,336,0.0501805
4/1/1951,344.09,0.024077381
7/1/1951,351.385,0.021200849
10/1/1951,356.178,0.013640309
1/1/1952,359.82,0.010225224
4/1/1952,361.03,0.003362793
7/1/1952,367.701,0.018477689
10/1/1952,380.812,0.035656688
1/1/1953,387.98,0.018822936
4/1/1953,391.749,0.009714418
7/1/1953,391.171,-0.001475435
10/1/1953,385.97,-0.013295975
1/1/1954,385.345,-0.001619297
4/1/1954,386.121,0.00201378
7/1/1954,390.996,0.012625576
10/1/1954,399.734,0.022348055
1/1/1955,413.073,0.033369691
4/1/1955,421.532,0.020478221
7/1/1955,430.221,0.020612907
10/1/1955,437.092,0.015970861
1/1/1956,439.746,0.006071948
4/1/1956,446.01,0.014244587
7/1/1956,451.191,0.011616331
10/1/1956,460.463,0.020550055
1/1/1957,469.779,0.02023181
4/1/1957,472.025,0.004780971
7/1/1957,479.49,0.01581484
10/1/1957,474.864,-0.009647751
1/1/1958,467.54,-0.015423363
4/1/1958,471.978,0.009492236
7/1/1958,485.841,0.029372132
10/1/1958,499.555,0.028227342
1/1/1959,510.33,0.021569197
4/1/1959,522.653,0.02414712
7/1/1959,525.034,0.004555604
10/1/1959,528.6,0.006791941
1/1/1960,542.648,0.026575861
4/1/1960,541.08,-0.002889534
7/1/1960,545.604,0.008361056
10/1/1960,540.197,-0.009910118
1/1/1961,545.018,0.008924522
4/1/1961,555.545,0.019314958
7/1/1961,567.664,0.021814614
10/1/1961,580.612,0.022809267
1/1/1962,594.013,0.023080818
4/1/1962,600.366,0.010695052
7/1/1962,609.027,0.0144262
10/1/1962,612.28,0.005341307
1/1/1963,621.672,0.015339387
4/1/1963,629.752,0.012997208
7/1/1963,644.444,0.023329819
10/1/1963,653.938,0.014732079
1/1/1964,669.822,0.024289764
4/1/1964,678.674,0.013215451
7/1/1964,692.031,0.019681025
10/1/1964,697.319,0.007641276
1/1/1965,717.79,0.029356722
4/1/1965,730.191,0.017276641
7/1/1965,749.323,0.026201364
