Date,building_permits,housing_starts,completions
1/1/1960,1092,1460,
2/1/1960,1088,1503,
3/1/1960,955,1109,
4/1/1960,1016,1289,
5/1/1960,1052,1271,
6/1/1960,958,1247,
7/1/1960,999,1197,
8/1/1960,994,1344,
9/1/1960,984,1097,
10/1/1960,972,1246,
11/1/1960,979,1246,
12/1/1960,951,1063,
1/1/1961,969,1183,
2/1/1961,961,1226,
3/1/1961,1000,1312,
4/1/1961,1002,1166,
5/1/1961,1027,1228,
6/1/1961,1070,1382,
7/1/1961,1083,1335,
8/1/1961,1159,1312,
9/1/1961,1098,1429,
10/1/1961,1123,1415,
11/1/1961,1152,1385,
12/1/1961,1161,1365,
1/1/1962,1122,1361,
2/1/1962,1194,1278,
3/1/1962,1134,1443,
4/1/1962,1235,1524,
5/1/1962,1142,1483,
6/1/1962,1154,1404,
7/1/1962,1189,1450,
8/1/1962,1200,1517,
9/1/1962,1223,1324,
10/1/1962,1181,1533,
11/1/1962,1236,1622,
12/1/1962,1236,1564,
1/1/1963,1248,1244,
2/1/1963,1212,1456,
3/1/1963,1258,1534,
4/1/1963,1288,1689,
5/1/1963,1350,1641,
6/1/1963,1345,1588,
7/1/1963,1321,1614,
8/1/1963,1310,1639,
9/1/1963,1413,1763,
10/1/1963,1414,1779,
11/1/1963,1357,1622,
12/1/1963,1423,1491,
1/1/1964,1296,1603,
2/1/1964,1442,1820,
3/1/1964,1313,1517,
4/1/1964,1264,1448,
5/1/1964,1299,1467,
6/1/1964,1280,1550,
7/1/1964,1304,1562,
8/1/1964,1306,1569,
9/1/1964,1265,1455,
10/1/1964,1230,1524,
11/1/1964,1254,1486,
12/1/1964,1164,1484,
1/1/1965,1264,1361,
2/1/1965,1185,1433,
3/1/1965,1211,1423,
4/1/1965,1162,1438,
5/1/1965,1207,1478,
6/1/1965,1241,1488,
7/1/1965,1237,1529,
8/1/1965,1249,1432,
9/1/1965,1227,1482,
10/1/1965,1279,1452,
11/1/1965,1306,1460,
12/1/1965,1315,1656,
1/1/1966,1325,1370,
2/1/1966,1159,1378,
3/1/1966,1234,1394,
4/1/1966,1145,1352,
5/1/1966,1078,1265,
6/1/1966,956,1194,
7/1/1966,932,1086,
8/1/1966,877,1119,
9/1/1966,774,1046,
10/1/1966,739,843,
11/1/1966,736,961,
12/1/1966,743,990,
1/1/1967,995,1067,
2/1/1967,907,1123,
3/1/1967,955,1056,
4/1/1967,1035,1091,
5/1/1967,1076,1304,
6/1/1967,1169,1248,
7/1/1967,1177,1364,
8/1/1967,1229,1407,
9/1/1967,1279,1421,
10/1/1967,1280,1491,
11/1/1967,1297,1538,
12/1/1967,1315,1308,
1/1/1968,1179,1380,1257
2/1/1968,1342,1520,1174
3/1/1968,1370,1466,1323
4/1/1968,1286,1554,1328
5/1/1968,1297,1408,1367
6/1/1968,1300,1405,1184
7/1/1968,1344,1512,1370
8/1/1968,1357,1495,1279
9/1/1968,1464,1556,1397
10/1/1968,1421,1569,1348
11/1/1968,1436,1630,1367
12/1/1968,1389,1548,1390
1/1/1969,1459,1769,1257
2/1/1969,1495,1705,1414
3/1/1969,1438,1561,1558
4/1/1969,1441,1524,1318
5/1/1969,1328,1583,1430
6/1/1969,1349,1528,1455
7/1/1969,1278,1368,1432
8/1/1969,1317,1358,1393
9/1/1969,1263,1507,1367
10/1/1969,1216,1381,1406
11/1/1969,1191,1229,1404
12/1/1969,1155,1327,1402
1/1/1970,1062,1085,1434
2/1/1970,1118,1305,1430
3/1/1970,1132,1319,1317
4/1/1970,1224,1264,1354
5/1/1970,1328,1290,1334
6/1/1970,1322,1385,1431
7/1/1970,1324,1517,1384
8/1/1970,1394,1399,1609
9/1/1970,1426,1534,1383
10/1/1970,1564,1580,1437
11/1/1970,1502,1647,1457
12/1/1970,1767,1893,1437
1/1/1971,1643,1828,1471
2/1/1971,1588,1741,1448
3/1/1971,1759,1910,1489
4/1/1971,1745,1986,1709
5/1/1971,1972,2049,1637
6/1/1971,1903,2026,1637
7/1/1971,2069,2083,1699
8/1/1971,2004,2158,1896
9/1/1971,1996,2041,1804
10/1/1971,2026,2128,1815
11/1/1971,2079,2182,1844
12/1/1971,2133,2295,1895
1/1/1972,2238,2494,1942
2/1/1972,2169,2390,2061
3/1/1972,2105,2334,1981
4/1/1972,2139,2249,1970
5/1/1972,2067,2221,1896
6/1/1972,2183,2254,1936
7/1/1972,2195,2252,1930
8/1/1972,2263,2382,2102
9/1/1972,2393,2481,2053
10/1/1972,2354,2485,1995
11/1/1972,2234,2421,1985
12/1/1972,2419,2366,2121
1/1/1973,2271,2481,2162
2/1/1973,2226,2289,2124
3/1/1973,2062,2365,2196
4/1/1973,1908,2084,2195
5/1/1973,1931,2266,2299
6/1/1973,2051,2067,2258
7/1/1973,1819,2123,2066
8/1/1973,1809,2051,2056
9/1/1973,1704,1874,2061
10/1/1973,1411,1677,2052
11/1/1973,1402,1724,1925
12/1/1973,1288,1526,1869
1/1/1974,1331,1451,1932
2/1/1974,1360,1752,1938
3/1/1974,1440,1555,1806
4/1/1974,1254,1607,1830
5/1/1974,1138,1426,1715
6/1/1974,1086,1513,1897
7/1/1974,1002,1316,1695
8/1/1974,917,1142,1634
9/1/1974,840,1150,1651
10/1/1974,824,1070,1630
11/1/1974,783,1026,1590
12/1/1974,869,975,1540
1/1/1975,726,1032,1588
2/1/1975,729,904,1346
3/1/1975,709,993,1293
4/1/1975,866,1005,1278
5/1/1975,914,1121,1349
6/1/1975,946,1087,1234
7/1/1975,1020,1226,1276
8/1/1975,994,1260,1290
9/1/1975,1064,1264,1333
10/1/1975,1096,1344,1134
11/1/1975,1110,1360,1383
12/1/1975,1091,1321,1306
1/1/1976,1195,1367,1258
2/1/1976,1190,1538,1311
3/1/1976,1164,1421,1347
4/1/1976,1132,1395,1332
5/1/1976,1194,1459,1440
6/1/1976,1188,1495,1390
7/1/1976,1245,1401,1322
8/1/1976,1309,1550,1374
9/1/1976,1481,1720,1371
10/1/1976,1425,1629,1388
11/1/1976,1531,1641,1428
12/1/1976,1511,1804,1457
1/1/1977,1466,1527,1457
2/1/1977,1560,1943,1655
3/1/1977,1660,2063,1619
4/1/1977,1660,1892,1548
5/1/1977,1668,1971,1555
6/1/1977,1752,1893,1636
7/1/1977,1687,2058,1687
8/1/1977,1780,2020,1673
9/1/1977,1674,1949,1865
10/1/1977,1758,2042,1675
11/1/1977,1771,2042,1770
12/1/1977,1754,2142,1634
1/1/1978,1740,1718,1777
2/1/1978,1736,1738,1719
3/1/1978,1799,2032,1785
4/1/1978,1948,2197,1843
5/1/1978,1766,2075,1850
6/1/1978,1983,2070,1905
7/1/1978,1786,2092,1957
8/1/1978,1691,1996,1976
9/1/1978,1751,1970,1944
10/1/1978,1781,1981,1885
11/1/1978,1795,2094,1877
12/1/1978,1818,2044,1844
1/1/1979,1461,1630,1850
2/1/1979,1492,1520,1845
3/1/1979,1720,1847,1946
4/1/1979,1597,1748,1866
5/1/1979,1684,1876,2007
6/1/1979,1640,1913,1853
7/1/1979,1534,1760,1759
8/1/1979,1591,1778,1779
9/1/1979,1638,1832,1983
10/1/1979,1481,1681,1832
11/1/1979,1276,1524,1892
12/1/1979,1254,1498,1863
1/1/1980,1280,1341,1794
2/1/1980,1199,1350,1803
