Adient PLC,ADNT,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,3867.64,9,11.8,15.35,6.69,-0.15,2.67,6.14,-18.8,1.299625468,-0.008164894,0.051476369,0.51
"Allison Transmission Holdings, Inc.",ALSN,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,4056.76,12,11.66,9.42,7.65,2.69,4.07,5.01,0.513011152,0.230958231,0.183621739,0.331228723,1.35
"Autoliv, Inc.",ALV,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,8595.88,12,14.76,16.06,11.65,2.94,6.12,8.44,1.081632653,0.379084967,0.148479245,0.307318966,
"American Axle & Manufacturing Holdings, Inc.",AXL,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,1074.32,12,3.74,6.38,4.89,-0.07,1.48,1.92,-22.14285714,0.297297297,-0.00288129,0.164481818,0.79
BorgWarner Inc.,BWA,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,10934.43,12,10.48,10.8,9.2,2.43,4.22,4.95,0.736625514,0.172985782,0.146614525,0.531835616,0.82
"CarGurus, Inc.",CARG,NSDQ,Auto-Tires-Trucks,Automotive - Replacement Parts,3343.93,12,19.92,21.34,21.89,1.02,1.34,1.3,0.31372549,-0.029850746,0.6802125,-7.33315,1.44
Cummins Inc.,CMI,NYSE,Auto-Tires-Trucks,Automotive - Internal Combustion Engines,34363.76,12,15.83,14.62,12.58,11.4,16.36,19.01,0.435087719,0.16198044,0.336024194,0.776636981,1.31
CNH Industrial N.V.,CNHI,NYSE,Auto-Tires-Trucks,Automotive - Foreign,23016.48,12,14.78,12.86,11.28,0.13,1.32,1.51,9.153846154,0.143939394,0.014048739,0.783663158,
Dana Incorporated,DAN,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,3489.85,12,12.92,9.62,7.2,0.51,2.5,3.34,3.901960784,0.336,0.024654271,0.214285714,
BRP Inc.,DOOO,NSDQ,Auto-Tires-Trucks,Automotive - Original Equipment,7287.83,1,14.88,12.97,12.49,3.98,6.69,6.95,0.680904523,0.038863976,0.190481919,3.213773077,
"Dorman Products, Inc.",DORM,NSDQ,Auto-Tires-Trucks,Automotive - Replacement Parts,3153.64,12,22.17,21.78,19.7,3.18,4.55,5.03,0.43081761,0.105494505,0.505550365,1.867395833,
Driven Brands Holdings Inc.,DRVN,NSDQ,Auto-Tires-Trucks,Automotive - Original Equipment,4743.24,12,,34.39,28.68,0.3,0.82,0.99,1.733333333,0.207317073,0.198403846,1.383388235,
Ford Motor Company,F,NYSE,Auto-Tires-Trucks,Automotive - Domestic,53769.53,12,6.7,8.36,7.58,0.01,1.61,1.78,160,0.105590062,0.0005225,0.717870588,0.37
Fox Factory Holding Corp.,FOXF,NSDQ,Auto-Tires-Trucks,Automotive - Domestic,6753.38,12,38.01,36.44,32.44,2.92,4.4,4.95,0.506849315,0.125,0.718951351,2.5952,1.88
General Motors Company,GM,NYSE,Auto-Tires-Trucks,Automotive - Domestic,76868.77,12,5.9,8.54,7.9,4.53,6.2,6.7,0.368653422,0.080645161,0.231653892,0.9796,0.87
Gentex Corporation,GNTX,NSDQ,Auto-Tires-Trucks,Automotive - Original Equipment,7823.36,12,17.42,17.7,14.72,1.36,1.85,2.22,0.360294118,0.2,0.491265306,0.736,1.69
Genuine Parts Company,GPC,NYSE,Auto-Tires-Trucks,Automotive - Replacement Parts,18034.75,12,19.71,19.69,18.5,5.1,6.4,6.81,0.254901961,0.0640625,0.772453846,2.887804878,2.15
The Goodyear Tire & Rubber Company,GT,NSDQ,Auto-Tires-Trucks,Rubber - Tires,4591.88,12,12.66,14.23,7.35,-2.2,1.15,2.22,-1.522727273,0.930434783,-0.093450746,0.078995327,
"Honda Motor Co., Ltd.",HMC,NYSE,Auto-Tires-Trucks,Automotive - Foreign,55959.43,3,6.19,8.55,7.14,2.88,3.79,4.54,0.315972222,0.197889182,0.270593407,0.360808,0.6
"HarleyDavidson, Inc.",HOG,NYSE,Auto-Tires-Trucks,Automotive - Domestic,6329.22,12,13.02,12.54,12.52,0.74,3.28,3.29,3.432432432,0.00304878,0.036533858,41.0656,0.51
