Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Adient,ADNT,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,YES,41.44,2.76,3924.44,9,32.63,27.85,12.02,0.1,1.49,3.45,13.899999999999999,1.3154362416107384,0.020035971223021587,0.09137653061224489,
Allison Transmission Holdings,ALSN,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,YES,58.52,1.02,5328.55,12,9.63,8.94,8.62,5.23,6.54,6.78,0.2504780114722752,0.03669724770642205,0.35691755725190855,2.348949999999998,1.28
Autoliv,ALV,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,YES,91.97,1.68,7893.77,12,18.92,14.46,10.18,4.12,6.36,9.03,0.5436893203883496,0.41981132075471683,0.2659607142857143,0.24248988764044951,0.71
American Axle & Manufacturing Holdings,AXL,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,YES,8.67,2.29,1014.56,12,21.15,22.12,11.62,0.69,0.39,0.75,-0.4347826086956521,0.923076923076923,-0.5087600000000001,0.12588333333333332,2.74
BorgWarner,BWA,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,YES,45.4,1.42,10640.55,12,9.78,9.62,8.41,4.37,4.72,5.4,0.08009153318077795,0.14406779661016964,1.2011257142857155,0.58375294117647,0.68
CarGurus,CARG,NSDQ,Auto-Tires-Trucks,Automotive - Replacement Parts,YES,23.74,1.65,2690.18,12,23.5,23.74,21.26,0.97,1.0,1.12,0.03092783505154642,0.1200000000000001,7.675933333333326,1.7716666666666652,1.83
Cummins,CMI,NYSE,Auto-Tires-Trucks,Automotive - Internal Combustion Engines,YES,255.12,1.05,36115.25,12,14.13,12.88,12.59,15.2,19.8,20.27,0.30263157894736853,0.02373737373737368,0.42559999999999987,5.303872340425545,1.42
CNH Industrial,CNHI,NYSE,Auto-Tires-Trucks,Automotive - Foreign,YES,15.25,1.64,20430.51,12,9.84,8.69,8.43,1.47,1.76,1.81,0.19727891156462588,0.028409090909090936,0.4404931034482758,2.967359999999997,
Custom Truck One Source,CTOS,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,YES,6.9,0.58,1697.99,12,30.0,25.88,19.17,0.14,0.27,0.36,0.9285714285714285,0.3333333333333332,0.2787076923076923,0.5751000000000003,
Dana,DAN,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,YES,17.67,2.44,2550.31,12,37.6,25.49,12.39,0.7,0.69,1.43,-0.0142857142857143,1.0724637681159421,-17.842999999999982,0.11552837837837837,
BRP,DOOO,NSDQ,Auto-Tires-Trucks,Automotive - Original Equipment,YES,81.4,2.27,6355.82,1,8.44,8.85,8.05,8.81,9.2,10.12,0.04426787741203164,0.1,1.9991923076923142,0.805,
