"Accel Entertainment, Inc.",ACEL,NYSE,Consumer Discretionary,Gaming,1025.42,12,21.11,14.9,11.44,0.06,0.74,0.96,11.333333333333332,0.29729729729729726,0.013147058823529413,0.38480000000000003,
Afya Limited,AFYA,NSDQ,Consumer Discretionary,Schools,1957.94,12,31.85,23.71,17.52,0.72,0.89,1.2,0.2361111111111112,0.34831460674157294,1.0041882352941174,0.502993548387097,0.96
AMC Networks Inc.,AMCX,NSDQ,Consumer Discretionary,Broadcast Radio and Television,2124.4,12,4.89,6.14,6.67,5.78,8.34,7.68,0.44290657439446357,-0.07913669064748204,0.13862968750000002,-0.8428454545454543,
American Woodmark Corporation,AMWD,NSDQ,Consumer Discretionary,Furniture,1316.25,4,12.36,10.33,9.24,6.85,7.67,8.58,0.11970802919708035,0.11864406779661019,0.8629329268292679,0.7787999999999998,
"Academy Sports and Outdoors, Inc.",ASO,NSDQ,Consumer Discretionary,Leisure and Recreation Products,3439.01,1,,7.88,8.92,3.28,4.74,4.18,0.44512195121951237,-0.11814345991561191,0.1770301369863013,-0.7550142857142851,1.89
"Activision Blizzard, Inc",ATVI,NSDQ,Consumer Discretionary,Toys - Games - Hobbies,65210.85,12,22.85,21.93,19.13,3.45,3.82,4.38,0.1072463768115941,0.14659685863874347,2.0448243243243263,1.3049392857142854,1.41
Ballys Corporation,BALY,NYSE,Consumer Discretionary,Hotels and Motels,2111.84,12,32.22,15.05,12.43,-1.01,3.15,3.81,-4.118811881188119,0.20952380952380958,-0.03653966346153846,0.5932499999999998,
Brunswick Corporation,BC,NYSE,Consumer Discretionary,Leisure and Recreation Products,8161.45,12,13.36,13.08,11.73,4.77,8.05,8.97,0.6876310272536691,0.11428571428571427,0.19021829268292675,1.0263750000000003,
Bright Horizons Family Solutions Inc.,BFAM,NYSE,Consumer Discretionary,Schools,8693.48,12,130.5,65.25,34.3,0.95,2.2,4.18,1.3157894736842108,0.8999999999999997,0.49589999999999984,0.3811111111111112,2.72
"BJs Wholesale Club Holdings, Inc.",BJ,NYSE,Consumer Discretionary,Consumer Services - Miscellaneous,7195.41,1,16.87,19.98,18.05,3.03,2.63,2.91,-0.132013201320132,0.1064638783269963,-1.5134850000000002,1.6954107142857127,2.63
"BrightView Holdings, Inc.",BV,NYSE,Consumer Discretionary,Consumer Services - Miscellaneous,1451.78,9,11.6,11.06,10.55,0.92,1.25,1.31,0.35869565217391297,0.04800000000000004,0.308339393939394,2.1979166666666647,
"Betterware de Mexico, S.A.B. de C.V.",BWMX,NSDQ,Consumer Discretionary,Consumer Products - Discretionary,1379.98,12,,12.05,10.02,2.02,3.13,3.77,0.5495049504950494,0.20447284345047928,0.21928828828828834,0.49004062499999984,
Boyd Gaming Corporation,BYD,NYSE,Consumer Discretionary,Gaming,6653.76,12,17.91,13.1,13.75,-0.31,4.53,4.31,-15.612903225806452,-0.04856512141280367,-0.008390495867768594,-2.831249999999992,0.32
"Cable One, Inc.",CABO,NYSE,Consumer Discretionary,Cable Television,12427.37,12,42.32,40.26,35.08,45.84,51.12,58.67,0.11518324607329829,0.14769170579029742,3.4953000000000043,2.3752180132450316,
Central Garden & Pet Company,CENT,NSDQ,Consumer Discretionary,Consumer Products - Discretionary,2633.27,9,14.68,17.21,15.76,1.97,2.75,3.0,0.39593908629441626,0.09090909090909091,0.4346628205128205,1.7335999999999998,
Central Garden & Pet Company,CENTA,NSDQ,Consumer Discretionary,Consumer Products - Discretionary,2397.63,9,13.37,15.67,14.35,1.97,2.75,3.0,0.39593908629441626,0.09090909090909091,0.3957679487179487,1.5784999999999998,
"Churchill Downs, Incorporated",CHDN,NSDQ,Consumer Discretionary,Gaming,7256.79,12,35.35,32.54,22.56,0.72,5.79,8.35,7.041666666666667,0.44214162348877367,0.04621065088757396,0.5102437500000001,
"Choice Hotels International, Inc.",CHH,NYSE,Consumer Discretionary,Hotels and Motels,6435.91,12,39.08,30.92,26.09,2.18,3.74,4.43,0.7155963302752293,0.18449197860962552,0.4320871794871795,1.4141536231884069,0.89
"Charter Communications, Inc.",CHTR,NSDQ,Consumer Discretionary,Cable Television,143855.58,12,41.63,38.72,27.97,14.19,20.21,27.98,0.42424242424242437,0.38446313706086094,0.912685714285714,0.7275079794079794,1.11
Comcast Corporation,CMCSA,NSDQ,Consumer Discretionary,Cable Television,271941.94,12,21.08,19.32,15.73,2.54,3.07,3.77,0.20866141732283455,0.22801302931596099,0.9259018867924532,0.689872857142857,1.37
Cimpress plc,CMPR,NSDQ,Consumer Discretionary,Consumer Services - Miscellaneous,2328.02,6,,27.25,27.57,-0.8,3.41,3.37,-5.262499999999999,-0.011730205278592386,-0.05178147268408552,-23.503424999999982,1.36
Columbia Sportswear Company,COLM,NSDQ,Consumer Discretionary,Textile - Apparel,6758.32,12,26.75,22.19,19.12,1.39,4.62,5.36,2.3237410071942453,0.16017316017316022,0.09549256965944271,1.1937081081081078,0.66
"Carters, Inc.",CRI,NYSE,Consumer Discretionary,Shoes and Retail Apparel ,4645.81,12,13.08,14.47,13.28,4.6,7.29,7.95,0.5847826086956524,0.09053497942386833,0.24744237918215609,1.4668363636363633,0.69
"Crocs, Inc.",CROX,NSDQ,Consumer Discretionary,Textile - Apparel,9136.36,12,25.6,21.61,18.72,2.98,6.78,7.82,1.2751677852348995,0.15339233038348082,0.1694678947368421,1.2204,1.44
"Corsair Gaming, Inc.",CRSR,NSDQ,Consumer Discretionary,Gaming,2516.83,12,13.35,14.74,13.97,1.47,1.82,1.92,0.23809523809523817,0.05494505494505487,0.6190799999999999,2.542540000000004,
Camping World Holdings Inc.,CWH,NYSE,Consumer Discretionary,Leisure and Recreation Services,3464.01,12,6.55,6.46,6.84,3.41,6.05,5.72,0.7741935483870966,-0.05454545454545456,0.08344166666666668,-1.2539999999999996,
Deckers Outdoor Corporation,DECK,NYSE,Consumer Discretionary,Shoes and Retail Apparel ,12013.67,3,28.09,27.76,23.83,13.04,15.65,18.23,0.20015337423312893,0.16485623003194888,1.3869363984674323,1.445501937984496,
The Walt Disney Company,DIS,NYSE,Consumer Discretionary,Media Conglomerates,325429.22,9,104.73,76.17,35.03,1.56,2.35,5.11,0.5064102564102564,1.1744680851063831,1.5041164556962028,0.2982626811594203,3.5
"Discovery, Inc.",DISCA,NSDQ,Consumer Discretionary,Broadcast Radio and Television,14332.83,12,10.86,14.73,11.86,3.18,1.92,2.39,-0.3962264150943397,0.24479166666666677,-0.3717571428571428,0.48449361702127636,1.38
DISH Network Corporation,DISH,NSDQ,Consumer Discretionary,Cable Television,22767.86,12,10.39,12.0,15.4,2.53,3.6,2.8,0.4229249011857709,-0.2222222222222223,0.28373831775700925,-0.6929999999999998,2.02
Dolby Laboratories,DLB,NYSE,Consumer Discretionary,Audio Video Production,10330.37,9,28.7,27.79,25.95,2.87,3.67,3.93,0.27874564459930307,0.07084468664850142,0.9969662500000003,3.6629423076923047,2.14
Electronic Arts Inc.,EA,NSDQ,Consumer Discretionary,Toys - Games - Hobbies,39841.45,3,27.78,21.09,18.85,5.58,6.64,7.43,0.18996415770609312,0.11897590361445784,1.1102094339622643,1.5843544303797468,
"New Oriental Education & Technology Group, Inc.",EDU,NYSE,Consumer Discretionary,Schools,3222.73,5,0.95,5.3,3.76,0.28,0.35,0.5,0.2499999999999998,0.42857142857142866,0.21200000000000013,0.0877333333333333,
Callaway Golf Company,ELY,NYSE,Consumer Discretionary,Leisure and Recreation Products,5531.62,12,23.8,91.34,71.56,0.79,0.33,0.42,-0.5822784810126582,0.2727272727272726,-1.5686652173913045,2.623866666666668,
Fox Corporation,FOXA,NSDQ,Consumer Discretionary,Broadcast Radio and Television,21577.92,6,12.96,13.73,11.06,2.77,2.71,3.36,-0.021660649819494605,0.2398523985239852,-6.338683333333328,0.46111692307692315,1.63
Liberty Media Corporation,FWONK,NSDQ,Consumer Discretionary,Media Conglomerates,11165.0,12,,200.63,321.0,-2.59,0.24,0.15,-1.0926640926640927,-0.375,-1.8361544169611306,-8.56,
"Golden Entertainment, Inc.",GDEN,NSDQ,Consumer Discretionary,Gaming,1338.69,12,19.4,9.89,21.98,-4.56,4.69,2.11,-2.028508771929825,-0.5501066098081024,-0.04875502702702702,-0.3995589147286821,
"Guess, Inc.",GES,NYSE,Consumer Discretionary,Textile - Apparel,1464.68,1,11.51,9.47,8.26,-0.71,2.38,2.73,-4.352112676056338,0.1470588235294118,-0.021759546925566343,0.5616799999999998,
"GIII Apparel Group, LTD.",GIII,NSDQ,Consumer Discretionary,Textile - Apparel,1433.4,1,14.81,11.02,9.61,0.59,2.69,3.08,3.5593220338983054,0.14498141263940525,0.030960952380952377,0.6628435897435895,0.95
"Gildan Activewear, Inc.",GIL,NYSE,Consumer Discretionary,Textile - Apparel,7722.46,12,20.37,18.39,16.6,-0.43,2.12,2.34,-5.930232558139536,0.10377358490566026,-0.031010588235294113,1.5996363636363655,0.66
Acushnet Holdings Corp.,GOLF,NYSE,Consumer Discretionary,Leisure and Recreation Products,3978.34,12,15.65,24.36,23.14,1.12,2.21,2.33,0.9732142857142855,0.0542986425339367,0.2503045871559634,4.261616666666663,
"GoPro, Inc.",GPRO,NSDQ,Consumer Discretionary,Audio Video Production,1570.02,12,13.77,13.59,11.58,0.07,0.75,0.88,9.714285714285712,0.17333333333333334,0.013989705882352944,0.668076923076923,
"Gray Television, Inc.",GTN,NYSE,Consumer Discretionary,Broadcast Radio and Television,2116.97,12,5.66,12.73,5.93,3.44,1.74,3.72,-0.4941860465116279,1.1379310344827587,-0.2575952941176471,0.05211212121212121,1.27
"Hasbro, Inc.",HAS,NSDQ,Consumer Discretionary,Toys - Games - Hobbies,13765.55,12,19.23,20.57,19.03,3.6,4.86,5.25,0.35000000000000003,0.08024691358024684,0.5877142857142857,2.3714307692307712,1.16
Hanesbrands Inc.,HBI,NYSE,Consumer Discretionary,Textile - Apparel,7031.92,12,12.13,11.85,10.92,1.35,1.7,1.85,0.25925925925925913,0.08823529411764713,0.4570714285714288,1.237599999999999,1.4
Hilton Grand Vacations Inc.,HGV,NYSE,Consumer Discretionary,Hotels and Motels,3446.4,12,55.82,34.06,15.91,-0.64,1.18,2.53,-2.8437499999999996,1.1440677966101693,-0.1197714285714286,0.1390651851851852,
Hilton Worldwide Holdings Inc.,HLT,NYSE,Consumer Discretionary,Hotels and Motels,33857.56,12,224.98,58.09,30.15,0.24,2.09,4.03,7.708333333333333,0.9282296650717706,0.07536000000000001,0.324811855670103,
"China Lodging Group, Limited",HTHT,NSDQ,Consumer Discretionary,Hotels and Motels,14396.52,12,,69.94,28.24,-0.84,0.63,1.56,-1.75,1.4761904761904763,-0.3996571428571428,0.1913032258064516,
International Game Technology,IGT,NYSE,Consumer Discretionary,Gaming,3961.93,12,,322.33,13.72,-0.16,0.06,1.41,-1.375,22.5,-2.3442181818181815,0.006097777777777778,
Intercontinental Hotels Group,IHG,NYSE,Consumer Discretionary,Hotels and Motels,11639.73,12,,53.39,25.01,0.22,1.19,2.54,4.409090909090909,1.1344537815126052,0.12109072164948453,0.2204585185185185,
"Kontoor Brands, Inc.",KTB,NYSE,Consumer Discretionary,Textile - Apparel,3354.31,12,13.25,14.23,12.77,2.36,4.09,4.55,0.7330508474576272,0.11246943765281173,0.19412023121387284,1.1354195652173913,1.78
Liberty Broadband Corporation,LBRDK,NSDQ,Consumer Discretionary,Cable Television,33756.97,12,53.35,55.75,21.12,1.79,3.33,8.79,0.8603351955307262,1.6396396396396393,0.6480032467532468,0.12880879120879124,
Liberty Global PLC,LBTYA,NSDQ,Consumer Discretionary,Cable Television,16161.01,12,9.66,15.12,19.26,-0.82,1.92,1.51,-3.341463414634146,-0.21354166666666663,-0.04524963503649635,-0.9019317073170734,
"Leggett & Platt, Incorporated",LEG,NYSE,Consumer Discretionary,Furniture,6602.29,12,17.32,17.4,15.93,2.07,2.85,3.11,0.3768115942028987,0.09122807017543852,0.4617692307692305,1.7461730769230783,
Lions Gate Entertainment Corp.,LGF.A,NYSE,Consumer Discretionary,Film and Television Production and Distribution,2833.54,3,17.51,15.76,10.85,0.91,0.8,1.16,-0.12087912087912087,0.44999999999999984,-1.3037818181818184,0.2411111111111112,1.05
