Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Afya,AFYA,NSDQ,Consumer Discretionary,Schools,YES,15.55,0.91,1457.39,12,14.14,11.84,9.31,1.09,1.31,1.67,0.20183486238532106,0.2748091603053434,0.5866181818181819,0.3387805555555557,0.54
American Woodmark,AMWD,NSDQ,Consumer Discretionary,Furniture,YES,74.67,1.84,1222.84,4,9.8,11.44,10.19,6.75,6.53,7.33,-0.032592592592592555,0.12251148545176108,-3.510000000000004,0.8317587500000001,0.88
Sendas Distribuidora,ASAI,NYSE,Consumer Discretionary,Consumer Products - Discretionary,YES,13.34,1.01,3602.48,12,17.1,17.33,11.35,0.81,0.77,1.17,-0.049382716049382755,0.5194805194805193,-3.5093249999999965,0.21848750000000006,0.64
Academy Sports and Outdoors,ASO,NSDQ,Consumer Discretionary,Leisure and Recreation Products,YES,56.4,1.16,4312.08,1,7.69,8.0,7.16,7.58,7.05,7.88,-0.06992084432717681,0.11773049645390073,-1.144150943396226,0.6081686746987951,0.64
Atour Lifestyle Holdings Limited Sponsored ADR,ATAT,NSDQ,Consumer Discretionary,Leisure and Recreation Services,NO,19.49,,2555.52,12,,22.4,14.65,1.74,0.87,1.33,-0.5,0.5287356321839082,-0.44799999999999995,0.27707608695652164,
Adtalem Global Education,ATGE,NYSE,Consumer Discretionary,Schools,YES,39.75,0.95,1733.47,6,8.85,9.29,8.2,4.12,4.28,4.85,0.03883495145631071,0.1331775700934578,2.3921749999999977,0.6157192982456147,0.62
Activision Blizzard,ATVI,NSDQ,Consumer Discretionary,Toys - Games - Hobbies,YES,93.21,0.42,73104.61,12,25.61,23.15,21.8,3.05,4.03,4.28,0.32131147540983623,0.06203473945409429,0.7204846938775505,3.5141600000000004,2.44
Brunswick,BC,NYSE,Consumer Discretionary,Leisure and Recreation Products,YES,84.69,1.54,5987.58,12,8.43,8.2,7.54,10.01,10.33,11.24,0.031968031968031996,0.08809293320425945,2.5650624999999976,0.8559142857142855,
Bright Horizons Family Solutions,BFAM,NYSE,Consumer Discretionary,Schools,YES,92.5,1.21,5347.45,12,35.17,33.12,24.23,2.57,2.79,3.82,0.08560311284046701,0.3691756272401433,3.8690181818181775,0.6563271844660196,
BJ's Wholesale Club,BJ,NYSE,Consumer Discretionary,Consumer Services - Miscellaneous,YES,63.75,0.47,8566.05,1,16.35,16.36,15.23,3.82,3.9,4.19,0.02094240837696337,0.07435897435897448,7.811899999999993,2.0481724137931,2.13
Bowlero,BOWL,NYSE,Consumer Discretionary,Leisure and Recreation Services,YES,11.36,0.19,1970.91,6,20.29,20.08,15.01,-0.42,0.57,0.76,-2.357142857142857,0.3333333333333335,-0.08518787878787878,0.45029999999999976,
Boyd Gaming,BYD,NYSE,Consumer Discretionary,Gaming,YES,71.05,1.77,7178.07,12,11.12,11.25,10.9,5.75,6.32,6.52,0.09913043478260875,0.03164556962025305,1.134868421052631,3.444400000000013,1.71
Cable One,CABO,NYSE,Consumer Discretionary,Cable Television,NO,647.36,0.85,3689.95,12,15.33,12.82,11.22,62.02,50.51,57.69,-0.18558529506610777,0.14215006929320925,-0.6907874891398781,0.789306685236769,
Central Garden & Pet,CENT,NSDQ,Consumer Discretionary,Consumer Products - Discretionary,YES,39.73,0.7,2149.2,9,19.01,16.91,15.56,2.86,2.35,2.55,-0.17832167832167825,0.08510638297872329,-0.9482862745098043,1.8283000000000025,
Central Garden & Pet,CENTA,NSDQ,Consumer Discretionary,Consumer Products - Discretionary,YES,37.52,0.7,2029.65,9,17.95,15.97,14.7,2.86,2.35,2.55,-0.17832167832167825,0.08510638297872329,-0.8955725490196081,1.7272500000000022,
Churchill Downs,CHDN,NSDQ,Consumer Discretionary,Gaming,YES,132.74,1.1,9937.92,12,29.7,21.73,17.7,4.21,6.11,7.5,0.4513064133016628,0.22749590834697211,0.4814910526315788,0.7780359712230217,1.95
Choice Hotels International,CHH,NYSE,Consumer Discretionary,Hotels and Motels,YES,120.34,1.26,6136.32,12,22.41,20.3,18.38,5.09,5.93,6.55,0.16502946954813358,0.10455311973018552,1.2300833333333336,1.7579580645161283,1.61
Charter Communications,CHTR,NSDQ,Consumer Discretionary,Cable Television,YES,374.81,1.13,57215.27,12,12.28,12.3,10.64,31.02,30.47,35.22,-0.01773049645390073,0.15589104036757467,-6.937199999999992,0.682528,0.47
Comcast,CMCSA,NSDQ,Consumer Discretionary,Cable Television,YES,42.09,1.0,175465.94,12,11.35,11.4,10.23,3.6,3.69,4.11,0.02499999999999996,0.11382113821138222,4.560000000000008,0.8987785714285705,1.11
Cimpress,CMPR,NSDQ,Consumer Discretionary,Consumer Services - Miscellaneous,YES,64.52,1.73,1698.34,6,,28.68,16.46,-7.89,2.25,3.92,-1.285171102661597,0.7422222222222222,-0.2231609467455621,0.22176646706586825,
Cinemark,CNK,NYSE,Consumer Discretionary,Leisure and Recreation Services,YES,15.03,2.26,1827.33,12,,18.0,12.29,-1.8,0.83,1.22,-1.461111111111111,0.46987951807228917,-0.12319391634980989,0.26155641025641024,1.8
Columbia Sportswear,COLM,NSDQ,Consumer Discretionary,Textile - Apparel,YES,77.04,0.95,4776.48,12,15.11,14.67,13.02,5.23,5.25,5.92,0.003824091778202595,0.1276190476190476,38.36205000000082,1.020223880597015,1.16
Carter's,CRI,NYSE,Consumer Discretionary,Shoes and Retail Apparel ,YES,72.85,1.26,2745.6,12,11.68,11.85,11.34,6.37,6.15,6.42,-0.034536891679748785,0.04390243902439017,-3.43111363636364,2.5830000000000037,
Crocs,CROX,NSDQ,Consumer Discretionary,Textile - Apparel,YES,127.1,1.89,7883.44,12,11.08,11.02,9.97,10.45,11.53,12.75,0.10334928229665073,0.1058109280138769,1.066287037037037,0.9422467213114749,0.73
Corsair Gaming,CRSR,NSDQ,Consumer Discretionary,Gaming,YES,17.5,1.7,1786.05,12,92.11,29.01,21.52,0.15,0.6,0.81,3.0,0.35000000000000014,0.09670000000000001,0.6148571428571425,
Camping World,CWH,NYSE,Consumer Discretionary,Leisure and Recreation Services,YES,32.48,2.57,2726.16,12,10.25,21.71,13.43,4.38,1.5,2.42,-0.6575342465753424,0.6133333333333333,-0.3301729166666667,0.21896739130434784,
Caesars Entertainment,CZR,NSDQ,Consumer Discretionary,Leisure and Recreation Services,YES,52.47,2.9,11291.76,12,138.08,153.32,24.33,-3.82,0.34,2.16,-1.0890052356020943,5.352941176470588,-1.4078903846153845,0.045451648351648354,
Deckers Outdoor,DECK,NYSE,Consumer Discretionary,Shoes and Retail Apparel ,YES,547.45,0.92,14321.29,3,28.22,25.16,21.63,18.55,21.76,25.31,0.17304582210242592,0.16314338235294104,1.4539501557632395,1.3258276056338039,1.37
Disney,DIS,NYSE,Consumer Discretionary,Media Conglomerates,YES,85.56,1.28,156344.2,9,25.85,22.83,16.72,3.75,3.75,5.12,0.0,0.36533333333333334,inf,0.4576642335766423,1.93
DISH Network,DISH,NSDQ,Consumer Discretionary,Cable Television,YES,6.47,1.79,3445.97,12,1.97,5.3,11.03,2.65,1.22,0.59,-0.539622641509434,-0.5163934426229508,-0.0982167832167832,-0.21359682539682537,
Dolby Laboratories,DLB,NYSE,Consumer Discretionary,Audio Video Production,YES,89.03,0.99,8502.91,9,24.8,25.47,22.99,3.29,3.49,3.87,0.06079027355623105,0.10888252148997131,4.189814999999997,2.1114500000000005,
Electronic Arts,EA,NSDQ,Consumer Discretionary,Toys - Games - Hobbies,YES,138.25,0.85,37620.18,3,22.74,20.4,18.4,6.03,6.78,7.51,0.12437810945273631,0.10766961651917396,1.64016,1.708931506849316,4.5
Endeavor Group,EDR,NYSE,Consumer Discretionary,Media Conglomerates,YES,22.69,0.9,15953.65,12,29.85,15.18,14.98,1.03,1.5,1.51,0.45631067961165045,0.006666666666666672,0.332668085106383,22.469999999999985,0.6
New Oriental Education & Technology Group,EDU,NYSE,Consumer Discretionary,Schools,YES,45.36,0.6,7697.44,5,43.2,24.0,17.25,1.57,1.89,2.63,0.2038216560509553,0.39153439153439157,1.1775000000000007,0.44057432432432425,
Fox,FOXA,NSDQ,Consumer Discretionary,Broadcast Radio and Television,YES,33.44,0.86,16875.08,6,9.92,11.28,9.48,3.36,2.96,3.53,-0.11904761904761903,0.19256756756756752,-0.94752,0.49229473684210545,1.17
Cedar Fair,FUN,NYSE,Consumer Discretionary,Leisure and Recreation Services,YES,37.4,1.39,1919.66,12,15.71,11.81,9.33,5.0,3.17,4.01,-0.366,0.2649842271293375,-0.3226775956284153,0.35209642857142864,
Liberty Media,FWONK,NSDQ,Consumer Discretionary,Media Conglomerates,YES,74.88,1.08,17551.4,12,45.94,252.4,65.3,0.87,0.3,1.15,-0.6551724137931035,2.833333333333333,-3.8524210526315787,0.23047058823529412,
Golden Entertainment,GDEN,NSDQ,Consumer Discretionary,Gaming,YES,44.49,2.29,1282.97,12,23.67,26.85,24.89,2.85,1.66,1.79,-0.41754385964912283,0.07831325301204826,-0.643046218487395,3.178261538461536,
Guess,GES,NYSE,Consumer Discretionary,Textile - Apparel,YES,19.73,1.92,1056.22,1,7.89,7.02,6.59,2.35,2.81,2.99,0.1957446808510638,0.06405693950177942,0.3586304347826087,1.0287722222222213,
Gildan Activewear,GIL,NYSE,Consumer Discretionary,Textile - Apparel,YES,31.4,1.28,5541.74,12,11.21,10.36,9.33,3.12,3.03,3.37,-0.02884615384615394,0.11221122112211232,-3.5914666666666544,0.8314676470588227,1.15
Acushnet,GOLF,NYSE,Consumer Discretionary,Leisure and Recreation Products,YES,56.25,0.86,3789.18,12,18.81,19.16,18.06,2.69,2.94,3.11,0.0929368029739777,0.057823129251700654,2.061616,3.123317647058825,
Hyatt Hotels,H,NYSE,Consumer Discretionary,Hotels and Motels,YES,119.1,1.36,12589.99,12,29.33,45.05,35.13,1.07,2.64,3.39,1.4672897196261683,0.28409090909090906,0.3070286624203821,1.2365760000000001,15.81
Hasbro,HAS,NSDQ,Consumer Discretionary,Toys - Games - Hobbies,YES,64.0,0.76,8870.96,12,16.45,14.34,12.87,4.43,4.46,4.97,0.006772009029345429,0.11434977578475332,21.175399999999826,1.1254941176470592,5.78
Hanesbrands,HBI,NYSE,Consumer Discretionary,Textile - Apparel,YES,4.65,1.61,1625.32,12,8.02,13.81,5.99,0.98,0.34,0.78,-0.6530612244897959,1.2941176470588234,-0.211465625,0.04628636363636364,
Hilton Grand Vacations,HGV,NYSE,Consumer Discretionary,Hotels and Motels,YES,46.21,2.01,5147.99,12,12.69,10.56,10.21,3.09,4.38,4.53,0.41747572815533984,0.034246575342465835,0.25294883720930234,2.981319999999993,
Hilton Worldwide,HLT,NYSE,Consumer Discretionary,Hotels and Motels,YES,149.0,1.22,39429.35,12,27.44,25.46,23.21,4.51,5.85,6.42,0.29711751662971175,0.09743589743589749,0.8569,2.3820789473684196,0.66
H&R Block,HRB,NYSE,Consumer Discretionary,Consumer Services - Miscellaneous,YES,32.96,0.68,5019.29,6,10.08,8.03,7.01,3.72,4.1,4.7,0.10215053763440844,0.14634146341463428,0.7860947368421064,0.4790166666666662,0.64
H World Group Limited Sponsored ADR,HTHT,NSDQ,Consumer Discretionary,Hotels and Motels,YES,43.44,0.99,14143.94,12,,29.75,24.07,-0.66,1.46,1.8,-3.212121212121212,0.2328767123287672,-0.09261792452830189,1.0335941176470587,
International Game Technology,IGT,NYSE,Consumer Discretionary,Gaming,YES,32.71,1.93,6511.87,12,11.85,26.98,19.91,2.2,1.21,1.64,-0.45000000000000007,0.35537190082644626,-0.5995555555555555,0.5602581395348837,
Intercontinental Hotels Group,IHG,NYSE,Consumer Discretionary,Hotels and Motels,NO,71.33,1.21,12092.54,12,,21.1,17.7,2.81,3.38,4.03,0.2028469750889679,0.19230769230769243,1.0401929824561407,0.9203999999999993,
