Ambev S.A.,ABEV,NYSE,Consumer Staples,Beverages - Alcohol,48148.84,12,18.0,24.48,21.86,0.1,0.13,0.14,0.3,0.07692307692307698,0.8160000000000001,2.8417999999999974,3.31
"Albertsons Companies, Inc.",ACI,NYSE,Consumer Staples,Consumer Products - Staples,13687.43,2,10.67,12.92,13.31,3.13,2.27,2.2,-0.27476038338658143,-0.030837004405286274,-0.47022790697674427,-4.316242857142868,1.08
Archer Daniels Midland Company,ADM,NYSE,Consumer Staples,Agriculture - Operations,35019.45,12,13.0,13.08,13.85,3.44,4.79,4.52,0.3924418604651163,-0.05636743215031325,0.33329777777777775,-2.457092592592588,1.59
Adecoagro S.A.,AGRO,NYSE,Consumer Staples,Agriculture - Operations,1067.82,12,9.81,9.5,14.14,-0.17,0.96,0.64,-6.64705882352941,-0.3333333333333333,-0.014292035398230093,-0.4242000000000001,
Embotelladora Andina S.A.,AKO.B,NYSE,Consumer Staples,Beverages - Soft drinks,2147.14,12,13.61,11.63,10.31,1.05,1.17,1.32,0.11428571428571417,0.12820512820512833,1.0176250000000011,0.8041799999999992,
ARKO Corp.,ARKO,NSDQ,Consumer Staples,Consumer Products - Staples,1032.75,12,,22.64,18.86,0.17,0.37,0.44,1.176470588235294,0.1891891891891892,0.19244000000000003,0.9968857142857143,
"Mission Produce, Inc.",AVO,NSDQ,Consumer Staples,Agriculture - Operations,1379.0,10,,20.89,19.39,0.76,0.94,1.01,0.2368421052631578,0.07446808510638304,0.8820222222222226,2.6037999999999974,1.69
BrownForman Corporation,BF.B,NYSE,Consumer Staples,Beverages - Alcohol,33460.4,4,43.68,39.49,35.89,1.73,1.77,1.95,0.023121387283237014,0.10169491525423725,17.079424999999986,3.529183333333335,
"B&G Foods, Inc.",BGS,NYSE,Consumer Staples,Food - Miscellaneous,1938.27,12,14.8,14.77,13.04,2.35,2.03,2.29,-0.13617021276595756,0.12807881773399027,-1.084671874999999,1.018123076923076,
BRF S.A.,BRFS,NYSE,Consumer Staples,Food - Miscellaneous,3501.76,12,12.68,11.97,14.13,0.26,0.36,0.31,0.3846153846153845,-0.13888888888888887,0.3112200000000001,-1.0173600000000003,
British American Tobacco p.l.c.,BTI,NYSE,Consumer Staples,Tobacco,79526.88,12,,8.31,7.81,4.34,4.49,4.78,0.03456221198156691,0.0645879732739421,2.404359999999994,1.2092034482758618,2.07
AnheuserBusch InBev SANV,BUD,NYSE,Consumer Staples,Beverages - Alcohol,122760.0,12,18.62,21.14,17.84,2.33,2.93,3.47,0.25751072961373395,0.18430034129692832,0.8209366666666665,0.9679851851851853,
CONAGRA BRANDS,CAG,NYSE,Consumer Staples,Food - Miscellaneous,16316.93,5,12.87,13.75,12.7,2.63,2.47,2.67,-0.06083650190114057,0.08097165991902823,-2.260156250000004,1.568450000000002,1.96
