Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Ambev,ABEV,NYSE,Consumer Staples,Beverages - Alcohol,YES,3.04,1.1,47880.66,12,16.89,18.42,15.2,0.15,0.17,0.2,0.13333333333333347,0.1764705882352941,1.3814999999999988,0.8613333333333334,2.56
Albertsons Companies,ACI,NYSE,Consumer Staples,Consumer Products - Staples,YES,22.0,0.58,12626.96,2,6.51,7.87,7.56,3.28,2.8,2.91,-0.14634146341463414,0.0392857142857144,-0.5377833333333334,1.9243636363636305,1.59
Archer Daniels Midland,ADM,NYSE,Consumer Staples,Agriculture - Operations,YES,79.56,0.81,43331.14,12,9.91,11.7,12.98,7.54,6.8,6.13,-0.09814323607427058,-0.09852941176470588,-1.1921351351351348,-1.3173731343283581,1.83
Adecoagro,AGRO,NYSE,Consumer Staples,Agriculture - Operations,YES,10.45,0.99,1160.96,12,8.64,12.67,10.0,1.08,0.82,1.04,-0.24074074074074084,0.2682926829268294,-0.5262923076923075,0.3727272727272725,
Aramark,ARMK,NYSE,Consumer Staples,Food - Miscellaneous,YES,43.52,1.64,11341.69,9,30.65,25.51,18.61,1.18,1.71,2.34,0.4491525423728814,0.36842105263157887,0.5679584905660378,0.5051285714285715,1.06
BrownForman,BF.B,NYSE,Consumer Staples,Beverages - Alcohol,YES,66.68,0.71,31964.03,4,35.28,32.53,29.79,1.65,2.05,2.24,0.24242424242424238,0.09268292682926849,1.3418625000000002,3.214184210526309,
BRF,BRFS,NYSE,Consumer Staples,Food - Miscellaneous,YES,1.81,1.69,1463.22,12,,1.29,1.1,-1.32,1.4,1.65,-2.06060606060606,0.17857142857142858,-0.006260294117647061,0.0616,
Dutch Bros,BROS,NYSE,Consumer Staples,Beverages - Soft drinks,YES,28.47,2.49,1300.11,12,167.47,188.01,89.77,0.2,0.15,0.32,-0.25000000000000006,1.1333333333333335,-7.520399999999998,0.7920882352941174,4.09
British American Tobacco,BTI,NYSE,Consumer Staples,Tobacco,YES,32.88,0.56,66279.22,12,,6.87,6.51,4.49,4.78,5.05,0.0645879732739421,0.05648535564853547,1.0636655172413791,1.152511111111113,
AnheuserBusch InBev,BUD,NYSE,Consumer Staples,Beverages - Alcohol,YES,57.6,1.25,100062.55,12,18.06,18.32,15.66,2.91,3.14,3.68,0.07903780068728522,0.17197452229299365,2.3178782608695654,0.9105999999999999,1.67
