Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Agilent Technologies,A,NYSE,Computer and Technology,Electronics - Testing Equipment,YES,118.25,1.03,34928.19,10,21.46,21.06,19.62,5.07,5.61,6.03,0.106508876,0.07486631,1.9773,2.620671429,1.91
American Airlines,AAL,NSDQ,Transportation,Transportation - Airline,YES,18.18,1.56,11869.72,12,6.81,6,5.74,0.48,3.03,3.17,5.3125,0.04620462,0.011294118,1.2423,
AAON,AAON,NSDQ,Construction,Building Products - Air Conditioner and Heating,YES,103.82,0.82,5637.43,12,47.41,36.56,31.18,1.7,2.84,3.33,0.670588235,0.172535211,0.545192982,1.807167347,
Advance Auto Parts,AAP,NYSE,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,YES,69.48,1.08,4130.16,12,6.83,11.59,10,12.57,6,6.95,-0.522673031,0.158333333,-0.221744749,0.631578947,1.02
Apple,AAPL,NSDQ,Computer and Technology,Computer - Mini computers,YES,193.99,1.28,3051211,9,32.94,32.35,29.3,6.11,6,6.62,-0.018003273,0.103333333,-17.96895455,2.835483871,2.59
American Assets Trust,AAT,NYSE,Finance,REIT and Equity Trust - Retail,YES,20.85,1.09,1265.95,12,8.58,9.13,9.21,2.34,2.28,2.26,-0.025641026,-0.00877193,-3.5607,-10.4994,7.31
AllianceBernstein,AB,NYSE,Finance,Financial - Investment Management,YES,33.79,1.29,3834.36,12,12.47,12.27,11.01,2.82,2.76,3.07,-0.021276596,0.112318841,-5.7669,0.980245161,1.16
AbbVie,ABBV,NYSE,Medical,Large Cap Pharmaceuticals,YES,134.83,0.56,237879.19,12,10.3,12.31,12.24,13.73,10.95,11.01,-0.202476329,0.005479452,-0.607972302,22.338,2.46
AmerisourceBergen,ABC,NYSE,Medical,Medical - Dental Supplies,YES,192.14,0.56,38901.82,9,16.81,16.16,15.27,11,11.89,12.58,0.080909091,0.05803196,1.997303371,2.631308696,1.82
Ameris Bancorp,ABCB,NSDQ,Finance,Banks - Southeast,YES,37.45,1.09,2598.05,12,8.27,8.9,8.56,5.14,4.21,4.38,-0.180933852,0.040380048,-0.491892473,2.119858824,
Abcam,ABCM,NSDQ,Medical,Medical - Instruments,YES,23.86,0.94,5470.43,12,,54.54,42.04,0.37,0.44,0.57,0.189189189,0.295454545,2.882828571,1.422892308,2.12
Ambev,ABEV,NYSE,Consumer Staples,Beverages - Alcohol,YES,3.04,1.1,47880.66,12,16.89,18.42,15.2,0.15,0.17,0.2,0.133333333,0.176470588,1.3815,0.861333333,2.56
Asbury Automotive Group,ABG,NYSE,Retail-Wholesale,Automotive - Retail and Whole Sales,YES,244.23,1.14,5259.27,12,6.64,7.7,8.18,37.12,31.71,29.84,-0.145743534,-0.058971933,-0.528325323,-1.387100535,0.42
ABM Industries,ABM,NYSE,Business Services,Building Products - Maintenance Service,YES,42.36,1.07,2801.95,10,12.03,12.09,11.11,3.66,3.5,3.81,-0.043715847,0.088571429,-2.7655875,1.254354839,
Airbnb,ABNB,NSDQ,Computer and Technology,Internet - Content,YES,145.36,1.21,92951.15,12,48.29,41.16,35.41,2.59,3.53,4.1,0.362934363,0.161473088,1.134089362,2.192935088,1.99
Arbor Realty Trust,ABR,NYSE,Finance,REIT and Equity Trust,YES,16.08,1.94,2913.07,12,6.99,8.03,8.12,2.09,2,1.98,-0.043062201,-0.01,-1.864744444,-8.12,
Abbott Laboratories,ABT,NYSE,Medical,Medical - Products,YES,107,0.68,186067.31,12,23.06,24.37,23.58,5.21,4.39,4.54,-0.157389635,0.034168565,-1.548386585,6.90108,4.79
Arcosa,ACA,NYSE,Construction,Building Products - Miscellaneous,YES,75.89,0.58,3673.08,12,26.82,27.4,23.28,2.13,2.77,3.26,0.300469484,0.176895307,0.91190625,1.316032653,
ProFrac Holding Corp.,ACDC,NSDQ,Oils-Energy,Alternative Energy - Other,YES,12.79,0.81,2033.57,12,2.92,3.97,6.09,2.86,3.22,2.1,0.125874126,-0.347826087,0.315394444,-0.1750875,
Arch Capital Group,ACGL,NSDQ,Finance,Insurance - Property and Casualty,YES,80.61,0.73,30020.99,12,14.68,12.91,11.57,4.07,6.24,6.97,0.533169533,0.116987179,0.242136866,0.98899726,1.29
Acadia Healthcare,ACHC,NSDQ,Medical,Medical - Hospital,YES,73.09,1.32,6726.81,12,23.65,22.65,20.51,3.08,3.23,3.56,0.048701299,0.102167183,4.6508,2.007493939,1.63
Albertsons Companies,ACI,NYSE,Consumer Staples,Consumer Products - Staples,YES,22,0.58,12626.96,2,6.51,7.87,7.56,3.28,2.8,2.91,-0.146341463,0.039285714,-0.537783333,1.924363636,1.59
ACI Worldwide,ACIW,NSDQ,Computer and Technology,Computer - Software,YES,24.25,1.1,2626.27,12,18.23,13.55,10.83,1.74,1.79,2.24,0.028735632,0.251396648,4.7154,0.430793333,
Axcelis Technologies,ACLS,NSDQ,Computer and Technology,Electronics - Manufacturing Machinery,YES,192.27,1.71,6289.37,12,33.91,29.7,25.85,5.2,6.47,7.44,0.244230769,0.14992272,1.216062992,1.724221649,
AECOM,ACM,NYSE,Construction,Engineering - R and D Services,YES,87.32,1.29,12137.37,9,24.74,23.56,19.67,3.42,3.71,4.44,0.084795322,0.196765499,2.778455172,0.999667123,2.14
Accenture,ACN,NYSE,Business Services,Consulting Services,YES,319.78,1.22,212540.81,8,27.66,27.59,25.86,10.69,11.59,12.36,0.084190833,0.066436583,3.277078889,3.892433766,2.9
Enact Holdings,ACT,NSDQ,Finance,Insurance - Multi line,YES,26.79,0.6,4328.75,12,6.07,7.57,7.59,4.36,3.54,3.53,-0.188073394,-0.002824859,-0.402502439,-26.8686,
Adobe,ADBE,NSDQ,Computer and Technology,Computer - Software,YES,522,1.32,237927.59,11,35.49,33.24,29.63,13.62,15.7,17.62,0.152716593,0.122292994,2.176580769,2.422869792,2.51
Agree Realty,ADC,NYSE,Finance,REIT and Equity Trust - Retail,YES,65.72,0.46,6125,12,16.98,16.63,15.92,3.86,3.95,4.13,0.023316062,0.04556962,7.132422222,3.493555556,3.16
Analog Devices,ADI,NSDQ,Computer and Technology,Semiconductor - Analog and Mixed,YES,196.36,1.15,98458.5,10,18.13,18.58,19.37,9.43,10.56,10.14,0.119830329,-0.039772727,1.550525664,-4.870171429,1.52
Archer Daniels Midland,ADM,NYSE,Consumer Staples,Agriculture - Operations,YES,79.56,0.81,43331.14,12,9.91,11.7,12.98,7.54,6.8,6.13,-0.098143236,-0.098529412,-1.192135135,-1.317373134,1.83
Adient,ADNT,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,YES,41.44,2.76,3924.44,9,32.63,27.85,12.02,0.1,1.49,3.45,13.9,1.315436242,0.020035971,0.091376531,
Automatic Data Processing,ADP,NSDQ,Business Services,Outsourcing,YES,233.72,0.8,96555.05,6,29.81,26.05,23.81,8.16,8.97,9.81,0.099264706,0.093645485,2.624296296,2.542567857,2.17
Autodesk,ADSK,NSDQ,Computer and Technology,Computer - Software,YES,213.73,1.51,45679.75,1,31.62,29.5,25.65,6.59,7.25,8.33,0.100151745,0.148965517,2.945530303,1.721875,1.21
ADT,ADT,NYSE,Industrial Products,Security and Safety Services,YES,6.45,1.71,5944.21,12,16.97,9.35,9.35,0.51,0.69,0.69,0.352941176,0,0.264916667,inf,
Addus HomeCare,ADUS,NSDQ,Medical,Medical - Outpatient and Home Healthcare,YES,91.55,0.87,1483.51,12,23.3,22.26,20.19,3.59,4.11,4.53,0.144846797,0.102189781,1.536796154,1.975735714,1.89
Ameren,AEE,NYSE,Utilities,Utility - Electric Power,YES,84.43,0.43,22172.12,12,20.25,19.36,18.14,4.07,4.36,4.66,0.071253071,0.068807339,2.717075862,2.636346667,3.01
Aegon,AEG,NYSE,Finance,Insurance - Multi line,YES,5.24,1.15,14017.8,12,,87.33,9.19,-0.05,0.06,0.57,-2.2,8.5,-0.396954545,0.010811765,
Advanced Energy Industries,AEIS,NSDQ,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,YES,120.3,1.55,4515.31,12,18.51,25.23,20.42,6.38,4.77,5.89,-0.252351097,0.234800839,-0.999797516,0.869673214,
American Equity Investment Life Holding,AEL,NYSE,Finance,Insurance - Life Insurance,YES,53.59,0.96,4176.87,12,12.67,8.22,8,3.87,6.52,6.7,0.684754522,0.027607362,0.120043019,2.897777778,
Agnico Eagle Mines,AEM,NYSE,Basic Materials,Mining - Gold,YES,52.63,0.78,26063.34,12,23.39,23.37,21.61,2.25,2.25,2.43,0,0.08,inf,2.70125,23.37
American Eagle Outfitters,AEO,NYSE,Retail-Wholesale,Retail - Apparel and Shoes,YES,12.66,1.55,2499.74,1,12.66,12.52,12.16,0.9,1.01,1.04,0.122222222,0.02970297,1.024363636,4.093866667,2.7
American Electric Power,AEP,NSDQ,Utilities,Utility - Electric Power,YES,85.48,0.45,43925.27,12,17.17,16.24,15.3,5.02,5.26,5.59,0.047808765,0.062737643,3.396866667,2.438727273,2.89
Aercap,AER,NYSE,Finance,Financial - Leasing Companies,YES,64.83,1.99,15399.55,12,7.11,7.44,6.9,8.31,8.72,9.4,0.049338147,0.077981651,1.507960976,0.884823529,1.19
AES,AES,NYSE,Utilities,Utility - Electric Power,YES,21.38,0.95,14310.4,12,12.73,12.47,11.15,1.65,1.72,1.92,0.042424242,0.11627907,2.939357143,0.9589,1.42
American Financial Group,AFG,NYSE,Finance,Insurance - Property and Casualty,YES,116.18,0.82,9896.17,12,10.59,10.09,9.66,11.6,11.52,12.03,-0.006896552,0.044270833,-14.6305,2.182023529,
Aflac,AFL,NYSE,Finance,Insurance - Accident and Health,YES,70.38,0.94,42525.49,12,12.73,12.15,11.69,5.25,5.79,6.02,0.102857143,0.039723661,1.18125,2.942830435,2.52
Afya,AFYA,NSDQ,Consumer Discretionary,Schools,YES,15.55,0.91,1457.39,12,14.14,11.84,9.31,1.09,1.31,1.67,0.201834862,0.27480916,0.586618182,0.338780556,0.54
AGCO,AGCO,NYSE,Industrial Products,Manufacturing - Farm Equipment,YES,136.23,1.37,10198.75,12,10.06,9.37,9.39,11.84,14.53,14.51,0.227195946,-0.001376462,0.412419331,-68.21835,0.89
Alamos Gold,AGI,NYSE,Basic Materials,Mining - Gold,YES,12.73,1.06,5041.42,12,36.37,26.71,24.8,0.28,0.48,0.51,0.714285714,0.0625,0.37394,3.968,1.31
Federal Agricultural Mortgage,AGM,NYSE,Finance,Financial - Mortgage & Related Services,YES,153.11,1.04,1658.55,12,12.13,11.78,10.78,11.15,13,14.2,0.165919283,0.092307692,0.709983784,1.167833333,
AGNC Investment,AGNC,NSDQ,Finance,REIT and Equity Trust,YES,10.21,1.23,6082.22,12,3.28,4.33,5.42,3.07,2.36,1.88,-0.231270358,-0.203389831,-0.187226761,-0.266483333,
Avangrid,AGR,NYSE,Utilities,Utility - Electric Power,YES,37.68,0.42,14568.63,12,20.93,17.36,16.19,2.32,2.17,2.33,-0.064655172,0.073732719,-2.685013333,2.19576875,3.92
Adecoagro,AGRO,NYSE,Consumer Staples,Agriculture - Operations,YES,10.45,0.99,1160.96,12,8.64,12.67,10,1.08,0.82,1.04,-0.240740741,0.268292683,-0.526292308,0.372727273,
Agiliti,AGTI,NYSE,Medical,Medical Services,YES,17.05,1.21,2292.55,12,22.43,25.45,19.29,0.85,0.67,0.88,-0.211764706,0.313432836,-1.201805556,0.615442857,16.31
AdaptHealth,AHCO,NSDQ,Medical,Medical - Products,YES,13.48,0.67,1808.64,12,43.48,19.9,16.49,0.85,0.68,0.82,-0.2,0.205882353,-0.995,0.800942857,0.77
Armada Hoffler Properties,AHH,NYSE,Finance,REIT and Equity Trust - Residential,YES,12.27,0.93,1085.88,12,9.9,9.84,9.75,1.19,1.25,1.26,0.050420168,0.008,1.9516,12.1875,
American International Group,AIG,NYSE,Finance,Insurance - Multi line,YES,59.1,1.13,42773.77,12,12.21,9.23,7.55,4.41,6.41,7.82,0.453514739,0.219968799,0.2035215,0.343230496,0.92
Albany International,AIN,NYSE,Industrial Products,Textile - Products,YES,93.75,1.32,2925,12,24.23,26.26,22.94,3.75,3.57,4.09,-0.048,0.145658263,-5.470833333,1.574919231,3.34
Apartment Income REIT,AIRC,NYSE,Finance,REIT and Equity Trust - Residential,YES,35.75,0.89,5333.89,12,15.02,14.85,14.1,2.4,2.41,2.54,0.004166667,0.053941909,35.64,2.613923077,
Applied Industrial Technologies,AIT,NYSE,Industrial Products,Manufacturing - General Industrial ,YES,144.91,1.22,5601.37,6,17.21,16.35,17.01,8.58,8.86,8.52,0.032634033,-0.038374718,5.010107143,-4.432605882,
Assurant,AIZ,NYSE,Finance,Insurance - Multi line,YES,124.65,0.55,6625.4,12,11.67,11.22,9,10.52,11.11,13.85,0.05608365,0.246624662,2.000583051,0.364927007,0.98
Arthur J. Gallagher & Co.,AJG,NYSE,Finance,Insurance - Brokerage,YES,217.2,0.71,46534.23,12,27.18,24.93,22.14,7.73,8.71,9.81,0.126778784,0.126291619,1.966417347,1.753085455,2.29
