Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Agilent Technologies,A,NYSE,Computer and Technology,Electronics - Testing Equipment,YES,118.25,1.03,34928.19,10,21.46,21.06,19.62,5.07,5.61,6.03,0.10650887573964497,0.07486631016042779,1.9772999999999996,2.620671428571429,1.91
American Airlines,AAL,NSDQ,Transportation,Transportation - Airline,YES,18.18,1.56,11869.72,12,6.81,6.0,5.74,0.48,3.03,3.17,5.3125,0.04620462046204625,0.011294117647058824,1.2422999999999988,
AAON,AAON,NSDQ,Construction,Building Products - Air Conditioner and Heating,YES,103.82,0.82,5637.43,12,47.41,36.56,31.18,1.7,2.84,3.33,0.6705882352941176,0.1725352112676057,0.5451929824561405,1.8071673469387748,
Advance Auto Parts,AAP,NYSE,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,YES,69.48,1.08,4130.16,12,6.83,11.59,10.0,12.57,6.0,6.95,-0.522673031026253,0.15833333333333335,-0.22174474885844747,0.6315789473684209,1.02
Apple,AAPL,NSDQ,Computer and Technology,Computer - Mini computers,YES,193.99,1.28,3051211.0,9,32.94,32.35,29.3,6.11,6.0,6.62,-0.01800327332242231,0.10333333333333335,-17.968954545454494,2.835483870967742,2.59
American Assets Trust,AAT,NYSE,Finance,REIT and Equity Trust - Retail,YES,20.85,1.09,1265.95,12,8.58,9.13,9.21,2.34,2.28,2.26,-0.025641025641025664,-0.008771929824561412,-3.560699999999997,-10.49939999999999,7.31
AllianceBernstein,AB,NYSE,Finance,Financial - Investment Management,YES,33.79,1.29,3834.36,12,12.47,12.27,11.01,2.82,2.76,3.07,-0.02127659574468087,0.11231884057971017,-5.7668999999999935,0.9802451612903224,1.16
AbbVie,ABBV,NYSE,Medical,Large Cap Pharmaceuticals,YES,134.83,0.56,237879.19,12,10.3,12.31,12.24,13.73,10.95,11.01,-0.20247632920611808,0.0054794520547945666,-0.6079723021582731,22.337999999999813,2.46
AmerisourceBergen,ABC,NYSE,Medical,Medical - Dental Supplies,YES,192.14,0.56,38901.82,9,16.81,16.16,15.27,11.0,11.89,12.58,0.08090909090909096,0.05803195962994108,1.9973033707865158,2.631308695652176,1.82
Ameris Bancorp,ABCB,NSDQ,Finance,Banks - Southeast,YES,37.45,1.09,2598.05,12,8.27,8.9,8.56,5.14,4.21,4.38,-0.1809338521400778,0.040380047505938224,-0.4918924731182797,2.119858823529413,
