Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
American Assets Trust,AAT,NYSE,Finance,REIT and Equity Trust - Retail,YES,20.85,1.09,1265.95,12,8.58,9.13,9.21,2.34,2.28,2.26,-0.025641025641025664,-0.008771929824561412,-3.560699999999997,-10.49939999999999,7.31
AllianceBernstein,AB,NYSE,Finance,Financial - Investment Management,YES,33.79,1.29,3834.36,12,12.47,12.27,11.01,2.82,2.76,3.07,-0.02127659574468087,0.11231884057971017,-5.7668999999999935,0.9802451612903224,1.16
Ameris Bancorp,ABCB,NSDQ,Finance,Banks - Southeast,YES,37.45,1.09,2598.05,12,8.27,8.9,8.56,5.14,4.21,4.38,-0.1809338521400778,0.040380047505938224,-0.4918924731182797,2.119858823529413,
Arbor Realty Trust,ABR,NYSE,Finance,REIT and Equity Trust,YES,16.08,1.94,2913.07,12,6.99,8.03,8.12,2.09,2.0,1.98,-0.04306220095693773,-0.010000000000000009,-1.864744444444447,-8.119999999999992,
Arch Capital Group,ACGL,NSDQ,Finance,Insurance - Property and Casualty,YES,80.61,0.73,30020.99,12,14.68,12.91,11.57,4.07,6.24,6.97,0.5331695331695331,0.1169871794871794,0.24213686635944703,0.9889972602739734,1.29
Enact Holdings,ACT,NSDQ,Finance,Insurance - Multi line,YES,26.79,0.6,4328.75,12,6.07,7.57,7.59,4.36,3.54,3.53,-0.18807339449541288,-0.002824858757062212,-0.40250243902439015,-26.868599999999383,
Agree Realty,ADC,NYSE,Finance,REIT and Equity Trust - Retail,YES,65.72,0.46,6125.0,12,16.98,16.63,15.92,3.86,3.95,4.13,0.023316062176165882,0.04556962025316448,7.132422222222198,3.4935555555555613,3.16
Aegon,AEG,NYSE,Finance,Insurance - Multi line,YES,5.24,1.15,14017.8,12,,87.33,9.19,-0.05,0.06,0.57,-2.1999999999999997,8.5,-0.3969545454545455,0.010811764705882352,
American Equity Investment Life Holding,AEL,NYSE,Finance,Insurance - Life Insurance,YES,53.59,0.96,4176.87,12,12.67,8.22,8.0,3.87,6.52,6.7,0.6847545219638241,0.027607361963190278,0.12004301886792455,2.897777777777768,
Aercap,AER,NYSE,Finance,Financial - Leasing Companies,YES,64.83,1.99,15399.55,12,7.11,7.44,6.9,8.31,8.72,9.4,0.049338146811071015,0.07798165137614675,1.5079609756097558,0.8848235294117651,1.19
American Financial Group,AFG,NYSE,Finance,Insurance - Property and Casualty,YES,116.18,0.82,9896.17,12,10.59,10.09,9.66,11.6,11.52,12.03,-0.006896551724137937,0.044270833333333315,-14.630499999999987,2.1820235294117656,
Aflac,AFL,NYSE,Finance,Insurance - Accident and Health,YES,70.38,0.94,42525.49,12,12.73,12.15,11.69,5.25,5.79,6.02,0.10285714285714287,0.03972366148531944,1.18125,2.9428304347826146,2.52
Federal Agricultural Mortgage,AGM,NYSE,Finance,Financial - Mortgage & Related Services,YES,153.11,1.04,1658.55,12,12.13,11.78,10.78,11.15,13.0,14.2,0.16591928251121071,0.09230769230769226,0.7099837837837839,1.1678333333333337,
AGNC Investment,AGNC,NSDQ,Finance,REIT and Equity Trust,YES,10.21,1.23,6082.22,12,3.28,4.33,5.42,3.07,2.36,1.88,-0.23127035830618892,-0.2033898305084746,-0.1872267605633803,-0.2664833333333333,
Armada Hoffler Properties,AHH,NYSE,Finance,REIT and Equity Trust - Residential,YES,12.27,0.93,1085.88,12,9.9,9.84,9.75,1.19,1.25,1.26,0.05042016806722694,0.008000000000000007,1.951599999999998,12.18749999999999,
American International Group,AIG,NYSE,Finance,Insurance - Multi line,YES,59.1,1.13,42773.77,12,12.21,9.23,7.55,4.41,6.41,7.82,0.4535147392290249,0.2199687987519501,0.20352150000000002,0.3432304964539007,0.92
Apartment Income REIT,AIRC,NYSE,Finance,REIT and Equity Trust - Residential,YES,35.75,0.89,5333.89,12,15.02,14.85,14.1,2.4,2.41,2.54,0.004166666666666763,0.0539419087136929,35.639999999999176,2.6139230769230792,
Assurant,AIZ,NYSE,Finance,Insurance - Multi line,YES,124.65,0.55,6625.4,12,11.67,11.22,9.0,10.52,11.11,13.85,0.056083650190114055,0.24662466246624665,2.000583050847458,0.36492700729927,0.98
Arthur J. Gallagher & Co.,AJG,NYSE,Finance,Insurance - Brokerage,YES,217.2,0.71,46534.23,12,27.18,24.93,22.14,7.73,8.71,9.81,0.1267787839586029,0.1262916188289322,1.9664173469387747,1.7530854545454555,2.29
Acadia Realty Trust,AKR,NYSE,Finance,REIT and Equity Trust - Retail,YES,15.15,1.49,1442.47,12,11.93,12.3,12.3,1.19,1.23,1.23,0.033613445378151294,0.0,3.6592499999999966,inf,1.82
Alexander & Baldwin Holdings,ALEX,NYSE,Finance,REIT and Equity Trust - Other,YES,18.79,1.31,1364.04,12,16.48,15.4,14.57,0.91,1.22,1.29,0.34065934065934056,0.05737704918032792,0.45206451612903237,2.539342857142855,
Allstate,ALL,NYSE,Finance,Insurance - Property and Casualty,YES,102.41,0.57,26918.67,12,,119.22,7.72,-1.06,0.86,13.27,-1.811320754716981,14.430232558139535,-0.65819375,0.0053498791297340855,17.03
Ally Financial,ALLY,NYSE,Finance,Financial - Consumer Loans,YES,27.6,1.32,8302.65,12,5.77,7.83,5.81,5.99,3.53,4.75,-0.4106844741235393,0.3456090651558074,-0.19065731707317068,0.16810901639344258,
Affiliated Managers Group,AMG,NYSE,Finance,Financial - Investment Management,YES,157.46,1.34,5684.6,12,7.99,8.22,7.04,19.91,19.15,22.36,-0.03817177297840289,0.16762402088772851,-2.153423684210522,0.4199875389408098,0.75
American Homes 4 Rent,AMH,NYSE,Finance,REIT and Equity Trust - Residential,YES,36.36,0.67,13154.37,12,23.01,22.46,20.98,1.54,1.62,1.73,0.05194805194805199,0.06790123456790115,4.3235499999999965,3.089781818181822,3.25
AssetMark Financial,AMK,NYSE,Finance,Financial - Investment Management,YES,31.28,1.03,2312.35,12,16.46,13.72,12.59,1.73,2.28,2.48,0.31791907514450857,0.08771929824561413,0.4315563636363638,1.4352599999999984,
Ameriprise Financial,AMP,NYSE,Finance,Financial - Investment Management,YES,343.0,1.46,35733.32,12,12.98,11.51,10.18,24.54,29.8,33.69,0.21434392828035867,0.13053691275167775,0.5369874524714827,0.779856041131106,0.68
AMERISAFE,AMSF,NSDQ,Finance,Insurance - Accident and Health,YES,53.03,0.34,1015.61,12,17.22,18.24,21.18,2.88,2.91,2.5,0.010416666666666753,-0.14089347079037806,17.510399999999855,-1.5032634146341457,
American Tower,AMT,NYSE,Finance,REIT and Equity Trust - Other,YES,186.26,0.58,86805.21,12,18.95,19.31,17.76,9.7,9.64,10.49,-0.006185567010309147,0.08817427385892113,-31.217833333333992,2.0141929411764714,1.38
