Alcoa Corp.,AA,NYSE,Industrial Products,Metal Products - Distribution,8113.73,12,31.69,8.88,9.99,-1.28,4.89,4.35,-4.8203125,-0.11042944785276075,-0.01842204213938412,-0.9046499999999998,
ABB Ltd,ABB,NYSE,Industrial Products,Manufacturing - Electronics,77978.57,12,33.03,27.98,23.52,0.9,1.36,1.62,0.5111111111111112,0.19117647058823528,0.5474347826086956,1.230276923076923,4.51
"ACM Research, Inc.",ACMR,NSDQ,Industrial Products,Containers - Paper and Packaging,1473.84,12,66.69,65.38,42.21,1.05,1.27,1.98,0.2095238095238095,0.5590551181102362,3.1204090909090914,0.7550239436619719,
ADT Inc.,ADT,NYSE,Industrial Products,Security and Safety Services,7155.24,12,,16.75,9.17,1.08,0.52,0.95,-0.5185185185185185,0.8269230769230768,-0.3230357142857143,0.11089302325581397,2.07
AGCO Corporation,AGCO,NYSE,Industrial Products,Manufacturing - Farm Equipment,10550.24,12,16.44,14.62,13.27,5.14,9.57,10.55,0.8618677042801558,0.10240334378265417,0.16963160270880356,1.2958561224489789,0.75
Altra Industrial Motion Corp.,AIMC,NSDQ,Industrial Products,Manufacturing - General Industrial ,3973.11,12,18.12,17.83,15.81,2.82,3.43,3.88,0.21631205673758877,0.13119533527696783,0.8242721311475404,1.2050733333333343,1.19
Albany International Corporation,AIN,NYSE,Industrial Products,Textile - Products,2471.6,12,20.51,24.62,22.16,3.45,3.11,3.45,-0.09855072463768125,0.10932475884244383,-2.498205882352939,2.026988235294116,5.67
"Applied Industrial Technologies, Inc.",AIT,NYSE,Industrial Products,Manufacturing - General Industrial ,3449.94,6,21.98,17.76,16.38,4.42,5.0,5.42,0.13122171945701358,0.08399999999999999,1.3534344827586207,1.9500000000000002,
"Alamo Group, Inc.",ALG,NYSE,Industrial Products,Manufacturing - Farm Equipment,1796.09,12,24.25,20.32,17.76,5.54,7.41,8.48,0.33754512635379064,0.1443994601889339,0.6019935828877004,1.2299214953271027,2.03
Allegion PLC,ALLE,NYSE,Industrial Products,Security and Safety Services,12554.77,12,24.64,25.89,23.47,4.8,5.41,5.96,0.1270833333333334,0.10166358595194082,2.037245901639343,2.3085945454545462,3.73
"Alarm.com Holdings, Inc.",ALRM,NSDQ,Industrial Products,Security and Safety Services,4067.59,12,41.17,45.69,42.1,1.58,1.78,1.94,0.1265822784810126,0.08988764044943816,3.6095100000000016,4.683625000000003,2.28
Amcor PLC,AMCR,NYSE,Industrial Products,Containers - Paper and Packaging,19087.37,6,,15.51,15.02,0.74,0.79,0.81,0.06756756756756763,0.025316455696202552,2.295479999999998,5.932899999999996,1.71
A. O. Smith Corporation,AOS,NYSE,Industrial Products,Manufacturing - Electronics,11562.71,12,26.61,26.48,22.5,2.01,2.74,3.23,0.3631840796019903,0.17883211678832106,0.7291068493150681,1.2581632653061232,2.94
"Apogee Enterprises, Inc.",APOG,NSDQ,Industrial Products,Glass Products,1067.53,2,15.6,18.18,15.6,2.41,2.3,2.68,-0.045643153526971084,0.16521739130434798,-3.9830727272727158,0.9442105263157885,
Arconic Corporation,ARNC,NYSE,Industrial Products,Metal Products - Distribution,3772.42,12,43.66,22.69,11.75,0.07,-2.32,2.93,-34.14285714285713,-2.262931034482759,-0.006645606694560672,-0.05192380952380952,
"Astec Industries, Inc.",ASTE,NSDQ,Industrial Products,Manufacturing - Construction and Mining,1399.38,12,37.04,32.53,21.39,1.87,1.89,2.88,0.010695187165775291,0.5238095238095238,30.415550000000316,0.4083545454545454,
"AptarGroup, Inc.",ATR,NYSE,Industrial Products,Containers - Paper and Packaging,8764.7,12,33.9,33.54,30.49,3.63,3.96,4.36,0.09090909090909093,0.1010101010101011,3.6893999999999996,3.018509999999997,4.79
Avery Dennison Corporation,AVY,NYSE,Industrial Products,Office Supplies,18209.39,12,24.88,24.57,22.77,6.94,8.94,9.65,0.28818443804034566,0.07941834451901576,0.8525790000000005,2.8670957746478836,3.51
"Axon Enterprise, Inc",AXON,NSDQ,Industrial Products,Security and Safety Services,12231.44,12,89.11,137.79,99.42,1.14,1.35,1.87,0.18421052631578966,0.3851851851851852,7.480028571428563,2.5810961538461537,9.19
AZZ Inc.,AZZ,NYSE,Industrial Products,Manufacturing - Electronics,1328.04,2,18.99,17.42,16.98,2.1,3.04,3.12,0.4476190476190476,0.026315789473684233,0.38917021276595753,6.452399999999995,
"Barnes Group, Inc.",B,NYSE,Industrial Products,Manufacturing - General Industrial ,2508.54,12,33.29,25.97,19.84,1.61,1.91,2.5,0.18633540372670795,0.3089005235602095,1.3937233333333343,0.6422779661016947,2.6
Belden Inc,BDC,NYSE,Industrial Products,Wire and Cable Products,2447.65,12,14.48,13.2,11.94,2.63,4.14,4.57,0.5741444866920151,0.10386473429951706,0.22990728476821196,1.149572093023254,
"Berry Global Group, Inc.",BERY,NYSE,Industrial Products,Containers - Paper and Packaging,8867.56,9,11.24,11.33,10.37,4.51,5.78,6.32,0.2815964523281598,0.09342560553633218,0.40234881889763763,1.109974074074074,1.13
Ball Corporation,BLL,NYSE,Industrial Products,Containers - Metal and Glass,29091.18,12,27.16,25.19,21.23,2.93,3.54,4.2,0.20819112627986341,0.18644067796610173,1.2099459016393446,1.1386999999999998,5.04
Caterpillar Inc.,CAT,NYSE,Industrial Products,Manufacturing - Construction and Mining,119190.02,12,24.38,21.6,17.85,5.44,10.08,12.2,0.8529411764705881,0.21031746031746024,0.2532413793103449,0.8487169811320758,1.8
"Crown Holdings, Inc.",CCK,NYSE,Industrial Products,Containers - Metal and Glass,14481.4,12,14.45,14.33,13.9,5.71,7.49,7.72,0.31173380035026277,0.03070761014686242,0.4596870786516853,4.526565217391314,2.87
Colfax Corporation,CFX,NYSE,Industrial Products,Manufacturing - General Industrial ,6950.54,12,25.43,22.43,19.13,1.38,2.18,2.55,0.5797101449275365,0.16972477064220168,0.38691749999999986,1.12711891891892,1.06
Columbus McKinnon Corporation,CMCO,NSDQ,Industrial Products,Manufacturing - Material Handling,1266.59,3,24.92,15.08,11.7,1.13,2.96,3.81,1.6194690265486729,0.28716216216216217,0.09311693989071038,0.407435294117647,0.79
Constellium SE,CSTM,NYSE,Industrial Products,Metal Products - Distribution,2702.68,12,13.23,10.67,10.99,-0.42,1.81,1.76,-5.309523809523809,-0.027624309392265217,-0.02009596412556054,-3.978379999999997,
Cintas Corporation,CTAS,NSDQ,Industrial Products,Uniform and Related,40509.38,5,38.42,37.24,33.3,10.08,10.56,11.81,0.04761904761904766,0.11837121212121211,7.820399999999995,2.813184,3.9
"Casella Waste Systems, Inc.",CWST,NSDQ,Industrial Products,Pollution Control,3574.45,12,79.04,88.72,70.44,0.84,0.78,0.99,-0.07142857142857137,0.26923076923076916,-12.42080000000001,2.6163428571428575,12.43
"Donaldson Company, Inc.",DCI,NYSE,Industrial Products,Pollution Control,8625.16,7,31.8,25.28,22.7,2.32,2.72,3.03,0.17241379310344845,0.11397058823529396,1.4662399999999984,1.9917419354838735,2.41
Deere & Company,DE,NYSE,Industrial Products,Manufacturing - Farm Equipment,119483.17,10,26.4,21.27,18.26,7.74,18.01,20.97,1.32687338501292,0.1643531371460298,0.16030165530671858,1.1110222972972985,1.06
Dover Corporation,DOV,NYSE,Industrial Products,Manufacturing - General Industrial ,25043.44,12,24.78,23.13,21.42,5.49,7.52,8.12,0.3697632058287795,0.07978723404255315,0.6255354679802958,2.6846400000000017,2.01
GrafTech International Ltd.,EAF,NYSE,Industrial Products,Metal Products - Procurement and Fabrication,2858.29,12,6.59,9.88,5.89,1.6,1.08,1.81,-0.325,0.6759259259259258,-0.30400000000000005,0.08713972602739727,
Emerson Electric Co.,EMR,NYSE,Industrial Products,Manufacturing - Electronics,61955.99,9,25.98,25.49,23.05,3.31,4.07,4.5,0.22960725075528707,0.10565110565110557,1.110156578947368,2.1817093023255834,2.51
Enersys,ENS,NYSE,Industrial Products,Manufacturing - Electronics,3904.06,3,19.05,17.37,14.6,4.48,5.29,6.29,0.1808035714285713,0.1890359168241966,0.9607111111111117,0.77234,1.74
Enerpac Tool Group Corp.,EPAC,NYSE,Industrial Products,Manufacturing - Tools & Related Products,1507.47,8,55.64,36.29,25.95,0.23,0.69,0.96,1.9999999999999998,0.39130434782608703,0.18145000000000003,0.6631666666666666,
"Energy Recovery, Inc.",ERII,NSDQ,Industrial Products,Pollution Control,1081.89,12,63.1,86.04,67.61,0.49,0.22,0.28,-0.5510204081632654,0.2727272727272728,-1.5614666666666666,2.4790333333333328,
ESCO Technologies Inc.,ESE,NYSE,Industrial Products,Manufacturing - Electronics,2322.85,9,32.89,30.73,25.99,2.64,2.9,3.43,0.0984848484848484,0.18275862068965526,3.1202769230769256,1.4220943396226406,
"Eaton Corporation, PLC",ETN,NYSE,Industrial Products,Manufacturing - Electronics,67168.09,12,29.98,24.71,22.6,4.18,6.82,7.46,0.6315789473684212,0.09384164222873895,0.39124166666666654,2.4083125000000014,2.25
"Franklin Electric Co., Inc.",FELE,NSDQ,Industrial Products,Manufacturing - Electronics,3846.46,12,29.38,27.52,25.65,2.12,3.01,3.23,0.41981132075471683,0.07308970099667782,0.6555325842696631,3.50938636363636,
Wolseley PLC,FERG,NYSE,Industrial Products,Manufacturing - General Industrial ,32057.6,7,,21.02,20.26,6.61,6.78,7.03,0.02571860816944023,0.03687315634218289,8.173070588235298,5.494512,1.42
"SPX FLOW, Inc.",FLOW,NYSE,Industrial Products,Manufacturing - Electronics,3252.54,12,34.27,27.77,23.5,1.12,2.81,3.33,1.5089285714285712,0.18505338078291816,0.18403786982248524,1.2699038461538459,0.77
Flowserve Corporation,FLS,NYSE,Industrial Products,Manufacturing - General Industrial ,5159.71,12,23.58,24.25,19.18,1.79,1.63,2.07,-0.08938547486033527,0.26993865030674846,-2.712968749999998,0.7105318181818182,1.99
"Greif, Inc.",GEF,NYSE,Industrial Products,Containers - Paper and Packaging,3058.22,10,18.69,13.3,11.13,3.16,4.74,5.66,0.5,0.1940928270042194,0.266,0.5734369565217392,1.33
Graco Inc.,GGG,NYSE,Industrial Products,Manufacturing - General Industrial ,13311.14,12,32.67,31.19,28.94,1.85,2.51,2.71,0.35675675675675655,0.07968127490039849,0.874265151515152,3.6319699999999964,3.9
Global Industrial Company,GIC,NYSE,Industrial Products,Industrial Services,1482.3,12,22.45,22.97,21.94,1.7,1.71,1.79,0.005882352941176476,0.0467836257309942,39.048999999999964,4.689674999999996,
Graphic Packaging Holding Company,GPK,NYSE,Industrial Products,Containers - Paper and Packaging,5956.75,12,18.83,15.31,11.01,1.1,1.27,1.76,0.15454545454545446,0.3858267716535433,0.99064705882353,0.28536122448979595,0.61
"Chart Industries, Inc.",GTLS,NYSE,Industrial Products,Manufacturing - General Industrial ,6410.11,12,51.83,45.38,31.25,2.61,3.88,5.64,0.4865900383141763,0.45360824742268036,0.9326125984251968,0.6889204545454546,
"W.W. Grainger, Inc.",GWW,NYSE,Industrial Products,Industrial Services,22916.88,12,25.99,22.74,19.43,16.38,19.35,22.64,0.18131868131868148,0.1700258397932816,1.2541454545454533,1.142767477203648,1.75
"H&E Equipment Services, Inc.",HEES,NSDQ,Industrial Products,Manufacturing - Construction and Mining,1247.0,12,26.99,21.33,16.07,1.21,1.62,2.15,0.3388429752066117,0.32716049382716034,0.6294951219512191,0.49119622641509453,0.64
"Helios Technologies, Inc",HLIO,NSDQ,Industrial Products,Manufacturing - General Industrial ,2710.08,12,25.2,21.92,20.13,2.05,3.82,4.16,0.8634146341463416,0.08900523560209432,0.25387570621468925,2.261664705882351,
"Hollysys Automation Technologies, Ltd.",HOLI,NSDQ,Industrial Products,Industrial Automation and Robotics,1158.07,6,15.68,9.35,8.98,1.76,2.05,2.13,0.16477272727272715,0.039024390243902474,0.5674482758620694,2.301124999999998,
Hubbell Inc,HUBB,NYSE,Industrial Products,Manufacturing - Electrical Utilities ,11150.72,12,25.19,23.56,21.29,7.58,8.7,9.63,0.14775725593667535,0.10689655172413812,1.5945071428571438,1.9916451612903192,2.4
IDEX Corporation,IEX,NYSE,Industrial Products,Manufacturing - General Industrial ,17278.94,12,38.6,35.86,32.56,5.15,6.34,6.98,0.23106796116504844,0.10094637223974773,1.5519243697479,3.225474999999997,2.99
IIVI Incorporated,IIVI,NSDQ,Industrial Products,Manufacturing - Electronics,6534.88,6,16.77,16.48,13.98,3.61,3.78,4.45,0.04709141274238225,0.17724867724867735,3.499576470588237,0.7887223880597011,1.72
Ingersoll Rand Inc.,IR,NYSE,Industrial Products,Manufacturing - General Industrial ,21974.1,12,28.42,28.58,24.85,1.42,1.83,2.11,0.2887323943661973,0.1530054644808742,0.9898439024390239,1.6241250000000014,
iRobot Corporation,IRBT,NSDQ,Industrial Products,Industrial Automation and Robotics,2438.08,12,21.17,31.79,22.38,3.51,2.73,3.88,-0.22222222222222218,0.4212454212454212,-1.4305500000000002,0.5312817391304349,2.61
Illinois Tool Works Inc.,ITW,NYSE,Industrial Products,Manufacturing - General Industrial ,74080.43,12,28.86,27.47,25.28,6.38,8.56,9.3,0.34169278996865216,0.08644859813084114,0.8039385321100914,2.9242810810810806,2.34
John Bean Technologies Corporation,JBT,NYSE,Industrial Products,Manufacturing - Thermal Products,4504.9,12,35.99,29.87,25.26,3.83,4.75,5.61,0.24020887728459528,0.18105263157894744,1.243501086956522,1.3951744186046506,1.9
Johnson Controls International plc,JCI,NYSE,Industrial Products,Security and Safety Services,52355.61,9,28.94,27.64,22.51,2.21,2.66,3.27,0.20361990950226252,0.22932330827067662,1.3574311111111106,0.9815836065573774,3.45
Kadant Inc,KAI,NYSE,Industrial Products,Manufacturing - General Industrial ,2339.45,12,32.12,27.57,23.57,4.75,7.33,8.57,0.5431578947368422,0.16916780354706687,0.5075872093023255,1.3932911290322578,3.45
Kennametal Inc.,KMT,NYSE,Industrial Products,Manufacturing - Tools & Related Products,3048.62,6,35.06,18.62,14.57,0.9,1.96,2.5,1.1777777777777778,0.2755102040816327,0.1580943396226415,0.528837037037037,3.72
Kornit Digital Ltd.,KRNT,NSDQ,Industrial Products,Commercial Printing,5746.28,12,156.19,166.6,96.86,0.13,0.75,1.29,4.769230769230769,0.7200000000000001,0.3493225806451613,1.3452777777777776,
"Lincoln Electric Holdings, Inc.",LECO,NSDQ,Industrial Products,Manufacturing - Tools & Related Products,8408.55,12,26.32,23.51,20.87,3.97,6.02,6.78,0.5163727959697731,0.12624584717607987,0.4552912195121953,1.6531236842105248,1.81
Lindsay Corporation,LNN,NYSE,Industrial Products,Manufacturing - Farm Equipment,1887.17,8,38.19,41.44,31.42,3.25,4.18,5.51,0.2861538461538461,0.31818181818181823,1.448172043010753,0.9874857142857142,
The Middleby Corporation,MIDD,NSDQ,Industrial Products,Manufacturing - General Industrial ,9956.57,12,26.09,21.54,18.75,4.78,8.31,9.55,0.7384937238493724,0.1492178098676294,0.29167478753541076,1.2565524193548383,
"Mueller Industries, Inc.",MLI,NYSE,Industrial Products,Metal Products - Procurement and Fabrication,2579.92,12,9.62,7.22,6.84,2.12,6.25,6.6,1.9481132075471697,0.055999999999999946,0.037061501210653755,1.2214285714285726,
MSA Safety Incorporporated,MSA,NYSE,Industrial Products,Security and Safety Services,6341.27,12,38.34,34.25,28.51,4.25,4.72,5.68,0.11058823529411758,0.2033898305084746,3.097074468085108,1.4017416666666667,
"MSC Industrial Direct Company, Inc.",MSM,NYSE,Industrial Products,Industrial Services,4732.76,8,18.33,17.68,15.71,4.57,4.81,5.41,0.05251641137855565,0.12474012474012486,3.366566666666676,1.2594183333333322,
MUELLER WATER PRODUCTS,MWA,NYSE,Industrial Products,Steel - Pipe and Tube,2445.0,9,25.7,25.18,21.95,0.5,0.61,0.7,0.21999999999999997,0.14754098360655732,1.1445454545454548,1.4877222222222228,2.1
