Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
ADT,ADT,NYSE,Industrial Products,Security and Safety Services,YES,6.45,1.71,5944.21,12,16.97,9.35,9.35,0.51,0.69,0.69,0.3529411764705881,0.0,0.26491666666666674,inf,
AGCO,AGCO,NYSE,Industrial Products,Manufacturing - Farm Equipment,YES,136.23,1.37,10198.75,12,10.06,9.37,9.39,11.84,14.53,14.51,0.22719594594594592,-0.00137646249139708,0.4124193308550186,-68.21835000000145,0.89
Albany International,AIN,NYSE,Industrial Products,Textile - Products,YES,93.75,1.32,2925.0,12,24.23,26.26,22.94,3.75,3.57,4.09,-0.04800000000000004,0.14565826330532214,-5.470833333333329,1.5749192307692308,3.34
Applied Industrial Technologies,AIT,NYSE,Industrial Products,Manufacturing - General Industrial ,YES,144.91,1.22,5601.37,6,17.21,16.35,17.01,8.58,8.86,8.52,0.032634032634032556,-0.038374717832957095,5.010107142857155,-4.432605882352943,
Alamo Group,ALG,NYSE,Industrial Products,Manufacturing - Farm Equipment,YES,197.34,1.0,2368.28,12,20.18,17.33,17.06,8.14,11.39,11.57,0.39926289926289926,0.01580333625987706,0.4340498461538461,10.795188888888907,
Allegion,ALLE,NYSE,Industrial Products,Security and Safety Services,YES,124.19,1.12,10922.1,12,20.06,18.69,17.77,5.46,6.64,6.99,0.21611721611721607,0.052710843373494055,0.8648084745762715,3.371222857142852,3.07
Alarm.com,ALRM,NSDQ,Industrial Products,Security and Safety Services,YES,55.11,1.01,2746.65,12,27.83,34.95,27.5,1.85,1.58,2.0,-0.14594594594594595,0.2658227848101265,-2.394722222222222,1.0345238095238098,3.84
Amcor,AMCR,NYSE,Industrial Products,Containers - Paper and Packaging,YES,9.88,0.8,14537.87,6,12.51,13.6,12.83,0.72,0.73,0.77,0.013888888888888902,0.05479452054794526,9.791999999999991,2.3414749999999978,
A. O. Smith,AOS,NYSE,Industrial Products,Manufacturing - Electronics,YES,75.0,1.29,11283.12,12,22.66,21.44,20.09,3.07,3.5,3.73,0.14006514657980462,0.06571428571428571,1.5307162790697668,3.0571739130434783,2.38
Apogee Enterprises,APOG,NSDQ,Industrial Products,Glass Products,YES,47.59,1.17,1050.67,2,11.78,11.26,11.25,3.96,4.22,4.23,0.06565656565656561,0.002369668246445658,1.7149846153846167,47.47499999999679,
Arconic,ARNC,NYSE,Industrial Products,Metal Products - Distribution,YES,29.74,1.83,2981.33,12,24.38,19.83,14.3,1.05,1.5,2.08,0.4285714285714285,0.3866666666666667,0.46270000000000006,0.36982758620689654,
Astec Industries,ASTE,NSDQ,Industrial Products,Manufacturing - Construction and Mining,YES,46.99,1.55,1067.42,12,27.48,17.19,15.8,1.26,2.73,2.97,1.1666666666666667,0.08791208791208799,0.14734285714285714,1.7972499999999985,
AptarGroup,ATR,NYSE,Industrial Products,Containers - Paper and Packaging,YES,119.26,0.64,7799.67,12,31.55,28.61,25.81,3.65,4.17,4.62,0.14246575342465753,0.10791366906474825,2.008201923076923,2.3917266666666652,4.09
