Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Agnico Eagle Mines,AEM,NYSE,Basic Materials,Mining - Gold,YES,52.63,0.78,26063.34,12,23.39,23.37,21.61,2.25,2.25,2.43,0.0,0.08000000000000007,inf,2.7012499999999977,23.37
Alamos Gold,AGI,NYSE,Basic Materials,Mining - Gold,YES,12.73,1.06,5041.42,12,36.37,26.71,24.8,0.28,0.48,0.51,0.7142857142857141,0.06250000000000006,0.37394000000000016,3.967999999999997,1.31
Albemarle,ALB,NYSE,Basic Materials,Chemical - Diversified ,YES,237.66,1.55,27886.18,12,7.95,10.15,11.52,21.8,23.42,20.63,0.07431192660550463,-0.11912894961571317,1.3658641975308634,-0.9670193548387088,0.63
Alpha Metallurgical Resources,AMR,NYSE,Basic Materials,Mining - Miscellaneous,YES,154.04,1.29,2229.54,12,2.06,3.47,10.21,80.31,44.35,15.09,-0.44776491096999127,-0.6597519729425029,-0.07749602335928811,-0.15475512645249487,
The Andersons,ANDE,NSDQ,Basic Materials,Agriculture - Products,YES,47.8,0.78,1612.41,12,11.74,18.04,16.15,3.48,2.65,2.96,-0.2385057471264368,0.11698113207547173,-0.7563759036144577,1.3805645161290316,
Air Products and Chemicals,APD,NYSE,Basic Materials,Chemical - Diversified ,YES,299.28,0.87,66476.89,9,27.48,26.21,23.93,10.28,11.42,12.51,0.11089494163424131,0.09544658493870402,2.363498245614034,2.507161467889908,2.76
Ashland Inc.,ASH,NYSE,Basic Materials,Chemical - Specialty,YES,88.08,0.98,4780.24,9,15.32,17.08,14.16,5.66,5.16,6.22,-0.08833922261484099,0.2054263565891472,-1.9334559999999996,0.6892981132075475,
AdvanSix,ASIX,NYSE,Basic Materials,Chemical - Specialty,YES,37.46,1.83,1032.57,12,7.07,9.07,7.68,6.56,4.13,4.88,-0.3704268292682927,0.18159806295399517,-0.24485267489711937,0.42291199999999995,
ATI Inc.,ATI,NYSE,Basic Materials,Steel - Speciality,YES,44.84,1.25,5764.08,12,21.45,19.95,16.06,1.99,2.25,2.79,0.1306532663316583,0.24000000000000002,1.5269423076923077,0.6691666666666665,
AngloGold Ashanti,AU,NYSE,Basic Materials,Mining - Gold,YES,22.44,0.64,9393.39,12,,13.82,10.82,1.42,1.62,2.07,0.14084507042253536,0.27777777777777757,0.981219999999999,0.3895200000000003,0.5
Avient,AVNT,NYSE,Basic Materials,Chemical - Diversified ,YES,40.25,1.54,3665.67,12,15.54,16.61,13.55,2.89,2.42,2.97,-0.16262975778546718,0.22727272727272738,-1.02133829787234,0.5961999999999997,
Axalta Coating Systems,AXTA,NYSE,Basic Materials,Chemical - Specialty,YES,32.88,1.45,7284.0,12,21.49,21.04,17.92,1.46,1.56,1.83,0.06849315068493157,0.17307692307692307,3.071839999999997,1.035377777777778,1.29
Balchem,BCPC,NSDQ,Basic Materials,Chemical - Specialty,YES,130.62,0.71,4209.59,12,42.69,38.31,30.73,3.49,3.41,4.25,-0.022922636103151883,0.24633431085043983,-16.712737499999985,1.2474916666666669,
