Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
AbbVie,ABBV,NYSE,Medical,Large Cap Pharmaceuticals,YES,134.83,0.56,237879.19,12,10.3,12.31,12.24,13.73,10.95,11.01,-0.20247632920611808,0.0054794520547945666,-0.6079723021582731,22.337999999999813,2.46
AmerisourceBergen,ABC,NYSE,Medical,Medical - Dental Supplies,YES,192.14,0.56,38901.82,9,16.81,16.16,15.27,11.0,11.89,12.58,0.08090909090909096,0.05803195962994108,1.9973033707865158,2.631308695652176,1.82
Abcam,ABCM,NSDQ,Medical,Medical - Instruments,YES,23.86,0.94,5470.43,12,,54.54,42.04,0.37,0.44,0.57,0.1891891891891892,0.29545454545454536,2.8828285714285715,1.4228923076923081,2.12
Abbott Laboratories,ABT,NYSE,Medical,Medical - Products,YES,107.0,0.68,186067.31,12,23.06,24.37,23.58,5.21,4.39,4.54,-0.15738963531669872,0.03416856492027343,-1.548386585365853,6.901079999999983,4.79
Acadia Healthcare,ACHC,NSDQ,Medical,Medical - Hospital,YES,73.09,1.32,6726.81,12,23.65,22.65,20.51,3.08,3.23,3.56,0.04870129870129867,0.10216718266253873,4.650800000000003,2.0074939393939393,1.63
Addus HomeCare,ADUS,NSDQ,Medical,Medical - Outpatient and Home Healthcare,YES,91.55,0.87,1483.51,12,23.3,22.26,20.19,3.59,4.11,4.53,0.14484679665738176,0.10218978102189778,1.5367961538461525,1.975735714285715,1.89
Agiliti,AGTI,NYSE,Medical,Medical Services,YES,17.05,1.21,2292.55,12,22.43,25.45,19.29,0.85,0.67,0.88,-0.21176470588235288,0.31343283582089543,-1.2018055555555558,0.6154428571428573,16.31
AdaptHealth,AHCO,NSDQ,Medical,Medical - Products,YES,13.48,0.67,1808.64,12,43.48,19.9,16.49,0.85,0.68,0.82,-0.19999999999999993,0.20588235294117632,-0.9950000000000003,0.8009428571428577,0.77
Alcon,ALC,NYSE,Medical,Medical - Instruments,YES,84.28,0.89,41304.53,12,37.46,31.94,27.66,2.24,2.64,3.05,0.17857142857142852,0.1553030303030302,1.7886400000000007,1.7810341463414647,2.15
Align Technology,ALGN,NSDQ,Medical,Medical - Dental Supplies,YES,370.36,1.63,28338.82,12,53.6,44.55,37.79,7.02,8.31,9.8,0.1837606837606839,0.1793020457280385,2.4243488372093,2.10761677852349,2.59
Alkermes,ALKS,NSDQ,Medical,Medical - Biomedical and Genetics,YES,30.58,0.62,5079.99,12,132.96,29.9,14.74,0.25,1.02,2.08,3.08,1.0392156862745099,0.09707792207792207,0.1418377358490566,
