,Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,PEG Ratio
1,Alcoa,AA,NYSE,Industrial Products,Metal Products - Distribution,YES,35.57,2.42,6345.74,12,25.23,,9.91,4.63,-0.38,3.59,
9,Advantage Oil & Gas,AAVVF,OTC,Oils-Energy,Alternative Energy - Other,NO,6.56,1.9,1102.23,12,5.86,,,,,,
15,AbCellera Biologics,ABCL,NSDQ,Medical,Medical - Biomedical and Genetics,YES,7.55,-0.14,2179.9,12,,,,0.62,-0.57,-0.64,
24,ACADIA Pharmaceuticals,ACAD,NSDQ,Medical,Medical - Biomedical and Genetics,YES,33.465,0.51,5442.41,12,,,156.65,-1.32,-0.33,0.21,
25,Accolade,ACCD,NSDQ,Business Services,Technology Services,YES,13.98,1.71,1057.32,2,,,,-6.5,-1.73,-1.55,
28,Agri Bank China,ACGBY,OTC,Finance,Banks - Foreign,NO,8.35,0.27,116894.34,12,3.24,,,,,,
31,Archer Aviation,ACHR,NYSE,Aerospace,Aerospace - Defense,YES,5.28,2.28,1306.52,12,,,,-0.94,-1.26,-1.0,
35,Arcellx,ACLX,NSDQ,Medical,Medical - Biomedical and Genetics,YES,34.15,-0.71,1639.2,12,,,,-5.0,-1.61,-2.6,
39,ACV Auctions,ACVA,NSDQ,Retail-Wholesale,Internet - Commerce,YES,17.68,1.36,2824.11,12,,,128.58,-0.41,-0.2,0.14,
40,,ACWI,NSDQ,Finance,Financial - Investment Funds,YES,97.93,0.93,18175.81,12,,,,,,,
43,Adidas,ADDYY,OTC,Consumer Discretionary,Shoes and Retail Apparel ,NO,97.195,1.08,37244.12,12,,,45.98,0.62,-1.43,2.11,
44,ADEIA INC,ADEA,NSDQ,Business Services,Technology Services,YES,11.79,1.19,1253.7,12,6.85,8.61,,2.14,1.37,,
49,Adaptive Biotechnologies,ADPT,NSDQ,Medical,Medical - Biomedical and Genetics,YES,7.37,1.15,1063.57,12,,,,-1.5,-1.2,-0.92,
51,Andritz,ADRZY,OTC,Industrial Products,Industrial Services,NO,10.7725,0.8,5601.7,12,,,,0.88,,,
55,ADVA Optical,ADVOF,OTC,Computer and Technology,Communication - Network Software,NO,20.93,0.98,1086.32,12,65.41,,,,,,
56,,ADX,NYSE,Finance,Financial - Investment Funds,NO,17.18,1.01,2075.53,12,,,,,,,
60,Aehr Test Systems,AEHR,NSDQ,Computer and Technology,Electronics - Measuring Instruments,YES,52.17,1.97,1478.4,5,86.95,52.17,,0.56,1.0,,
68,Atlas Energy Solutions Inc.,AESI,NYSE,Oils-Energy,Oil and Gas - Integrated - United States,YES,17.15,,1715.0,12,,6.99,5.5,,2.45,3.12,
69,Arc Resources,AETUF,OTC,Oils-Energy,Oil and Gas - Exploration and Production - Canadian,NO,13.88,1.34,8469.92,12,4.01,,,,,,
70,ATOS ORIGIN,AEXAY,OTC,Business Services,Technology Services,NO,3.26,1.44,1808.51,12,,,,,,,
74,Affirm,AFRM,NSDQ,Business Services,Business - Services,YES,17.12,3.05,5062.14,6,,,,-3.52,-3.0,-2.74,
76,First Majestic Silver,AG,NYSE,Basic Materials,Mining - Silver,YES,6.64,1.04,1885.41,12,,,16.6,-0.21,-0.02,0.4,
79,,AGG,NYSE,Finance,Financial - Investment Funds,YES,98.05,0.11,92882.77,12,,,,,,,
81,Agios Pharmaceuticals,AGIO,NSDQ,Medical,Medical - Products,YES,27.16,0.97,1509.57,12,,,,-6.52,-6.32,-5.0,
82,Agilon Health,AGL,NYSE,Medical,Medical Services,YES,16.97,0.95,7039.72,12,,,152.54,-0.21,-0.1,0.11,
85,Assured Guaranty,AGO,NYSE,Finance,Insurance - Multi line,YES,57.65,1.11,3421.01,12,14.74,12.53,10.2,,4.6,5.65,
89,Agilysys,AGYS,NSDQ,Computer and Technology,Computer - Integrated Systems,YES,67.79,0.88,1720.04,3,69.89,92.86,,0.93,0.73,,
90,Anhui Conch Cement,AHCHY,OTC,Construction,Building Products - Concrete and Aggregates,NO,12.445,0.53,13189.96,12,,7.15,6.22,,1.74,2.0,
94,Asahi Kasei,AHKSY,OTC,Basic Materials,Chemical - Diversified ,NO,13.75,0.73,9583.28,3,14.03,,,,,,
95,C3.ai,AI,NYSE,Computer and Technology,Computers - IT Services,YES,38.73,1.38,4477.7,4,,,911.29,-0.46,-0.27,0.04,
99,AAR,AIR,NYSE,Aerospace,Aerospace - Defense Equipment,YES,58.4,1.61,2026.88,5,21.08,17.18,,2.85,3.4,,
103,Apartment Investment and Management,AIV,NYSE,Finance,REIT and Equity Trust - Residential,YES,8.75,1.18,1300.39,12,,,,,-0.28,,
106,Ajinomoto,AJINY,OTC,Consumer Staples,Food - Miscellaneous,NO,39.47,0.09,20911.13,3,30.36,,,,,,
109,Embotelladora Andina,AKO.A,NYSE,Consumer Staples,Beverages - Soft drinks,NO,12.0616,0.57,1902.86,12,11.27,,,,,,
110,Embotelladora Andina,AKO.B,NYSE,Consumer Staples,Beverages - Soft drinks,NO,16.27,0.52,2566.78,12,15.21,11.7,9.8,,1.39,1.66,
112,Akero Therapeutics,AKRO,NSDQ,Medical,Medical - Biomedical and Genetics,YES,44.77,-0.91,2242.98,12,,,,-3.22,-2.8,-3.27,
124,Alignment Healthcare,ALHC,NSDQ,Medical,Medical Services,YES,5.41,1.6,1019.14,12,,,,-0.81,-0.8,-0.54,
129,Alkami Technology,ALKT,NSDQ,Computer and Technology,Internet - Software,YES,16.8,0.14,1560.13,12,,,336.0,-0.25,-0.12,0.05,
133,Alnylam Pharmaceuticals,ALNY,NSDQ,Medical,Medical - Biomedical and Genetics,YES,202.83,0.48,25257.55,12,,,,-9.62,-6.52,-3.28,
142,Ambarella,AMBA,NSDQ,Computer and Technology,Electronics - Semiconductors,YES,82.22,1.5,3132.58,1,158.12,,699.74,1.02,-0.56,0.12,
144,AMC Entertainment,AMC,NYSE,Consumer Discretionary,Leisure and Recreation Services,YES,4.37,1.76,2268.87,12,,,,-1.15,-0.37,-0.26,
150,Amplifon,AMFPF,OTC,Medical,Medical Services,NO,32.65,0.57,7391.59,12,,,,1.13,,,
162,Altus Power,AMPS,NYSE,Oils-Energy,Alternative Energy - Other,YES,6.5,0.67,1039.97,12,,,57.35,-0.09,0.0,0.11,
174,Angi,ANGI,NSDQ,Computer and Technology,Internet - Content,YES,3.91,1.64,1980.68,12,,,,-0.19,-0.1,-0.01,
175,Acerinox,ANIOY,OTC,Basic Materials,Steel - Producers,NO,5.3936,1.5,2801.7,12,2.67,,,1.63,,,
178,Africa Oil,AOIFF,OTC,Oils-Energy,Oil and Gas - Exploration and Production - Canadian,NO,2.2,1.21,1017.11,12,,,,,,,
184,Aperam,APEMY,OTC,Basic Materials,Steel - Producers,NO,32.53,1.75,2538.53,12,4.22,,,9.53,,,
188,Apellis Pharmaceuticals,APLS,NSDQ,Medical,Medical - Biomedical and Genetics,YES,52.46,1.23,6109.33,12,,,,-6.28,-5.23,-2.49,
189,Aspen Pharmacare,APNHY,OTC,Medical,Medical - Generic Drugs,NO,9.8,1.27,4373.27,6,,,,,,,
194,Appian,APPN,NSDQ,Computer and Technology,Internet - Software,YES,51.22,1.61,3737.09,12,,,,-1.34,-1.13,-0.66,
199,Arcadis,ARCAY,OTC,Construction,Engineering - R and D Services,NO,40.9,0.87,3699.08,12,,,,,,,
207,Argenx,ARGX,NSDQ,Medical,Medical - Biomedical and Genetics,YES,484.43,0.72,27106.54,12,,,,-15.52,-6.25,-4.09,
217,Arvinas,ARVN,NSDQ,Medical,Medical - Biomedical and Genetics,YES,24.6,1.75,1313.6,12,,,,-4.81,-6.7,-7.91,
219,Arrowhead Pharmaceuticals,ARWR,NSDQ,Medical,Medical - Drugs,YES,34.7,0.97,3709.45,9,,,,-1.29,-1.37,-2.48,
221,Asana,ASAN,NYSE,Computer and Technology,Internet - Software,YES,23.68,1.2,5134.78,1,,,,-1.16,-0.52,-0.34,
225,ASICS Corporation Unsponsored ADR,ASCCY,OTC,Consumer Discretionary,Leisure and Recreation Products,NO,29.53,,5408.73,12,26.37,,,,,,
227,Asahi Glass,ASGLY,OTC,Industrial Products,Glass Products,NO,7.0,0.75,7769.12,12,11.67,,,0.6,,,
232,ASM International,ASMIY,OTC,Computer and Technology,Semiconductor - Communications ,NO,465.22,1.68,22947.59,12,33.06,,,14.86,,,
234,Ascendis Pharma,ASND,NSDQ,Medical,Medical - Biomedical and Genetics,YES,87.2,0.51,4999.65,12,,,,-9.52,-10.73,-8.28,
240,Auto Trader Group,ATDRY,OTC,Auto-Tires-Trucks,Automotive - Foreign,NO,2.0202,1.02,7464.98,3,,,,0.06,,,
241,Alphatec,ATEC,NSDQ,Medical,Medical - Instruments,YES,18.72,1.27,2218.25,12,,,,-1.44,-1.23,-0.9,
247,Atkore,ATKR,NYSE,Industrial Products,Wire and Cable Products,YES,154.1,2.22,5942.04,9,7.31,8.65,9.24,,17.82,16.68,
249,Atmus Filtration Technologies Inc.,ATMU,NYSE,Industrial Products,Pollution Control,NO,23.65,,1969.99,12,,12.75,11.94,,1.86,1.98,
252,AtriCure,ATRC,NSDQ,Medical,Medical - Products,YES,53.3,1.36,2515.76,12,,,,-1.1,-1.11,-0.81,
253,Atrion,ATRI,NSDQ,Medical,Medical - Dental Supplies,NO,577.7,0.5,1017.04,12,34.35,,,,,,
254,ATS Corporation,ATS,NYSE,Industrial Products,Manufacturing - General Industrial ,NO,48.12,,4758.14,3,,24.0,23.82,,2.01,2.02,
260,AU Optronics,AUOTY,OTC,Computer and Technology,Electronics - Miscellaneous Components,NO,6.28,0.93,4772.42,12,,,,-0.47,-1.27,-0.91,
261,Aurinia Pharmaceuticals,AUPH,NSDQ,Medical,Medical - Drugs,YES,11.25,1.17,1609.13,12,,,,-0.85,-0.71,-0.43,
262,Reinvent Technology Partners Y,AUR,NSDQ,Business Services,Technology Services,YES,3.17,2.51,3741.91,12,,,,,,,
267,Avadel Pharmaceuticals,AVDL,NSDQ,Medical,Medical - Drugs,YES,15.2,1.44,1166.88,12,,,,-2.01,-1.34,-0.29,
268,AvidXchange,AVDX,NSDQ,Computer and Technology,Internet - Software,YES,11.64,0.49,2342.54,12,,,,-0.29,-0.17,-0.04,
271,Advanced Info Service,AVIFY,OTC,Computer and Technology,Wireless Non-US ,NO,6.34,0.35,18855.16,12,,,,,,,
278,Aviva,AVVIY,OTC,Finance,Insurance - Life Insurance,NO,10.155,1.19,13903.57,12,,,,1.02,,,
280,Alumina,AWCMY,OTC,Basic Materials,Mining - Miscellaneous,NO,3.86,1.14,2800.12,12,,,,,,,
287,Axonics,AXNX,NSDQ,Medical,Medical Info Systems,YES,51.04,0.4,2571.59,12,,,,-1.55,-0.4,-0.04,
291,Axsome Therapeutics,AXSM,NSDQ,Medical,Medical - Biomedical and Genetics,YES,73.28,1.84,3193.04,12,,,,-4.34,-3.93,-1.7,
301,AZUL,AZUL,NYSE,Transportation,Transportation - Airline,YES,10.72,1.47,4511.85,12,,,16.93,-2.99,-1.26,0.63,
302,AZZ,AZZ,NYSE,Industrial Products,Manufacturing - Electronics,YES,43.48,1.35,1087.57,2,12.21,,,4.15,,,
304,Boeing,BA,NYSE,Aerospace,Aerospace - Defense,YES,211.87,1.41,127459.61,12,,,39.61,-9.09,-1.42,5.35,
307,Bank of China,BACHY,OTC,Finance,Banks - Foreign,NO,8.854,0.27,104260.38,12,3.37,,,,,,
311,Braskem,BAK,NYSE,Oils-Energy,Oil and Gas - Integrated - International,NO,10.69,1.77,4828.34,12,,,14.45,-0.04,-0.37,0.74,
319,Liberty Media,BATRA,NSDQ,Finance,Real Estate - Operations,YES,42.99,0.88,2280.94,12,,,716.5,,-0.34,0.06,
320,Liberty Media,BATRB,OTC,Finance,Real Estate - Operations,NO,43.01,0.09,2273.67,12,,,,,,,
321,Liberty Media,BATRK,NSDQ,Finance,Real Estate - Operations,YES,41.5,0.9,1735.43,12,,,,-0.3,-0.81,-0.12,
324,BBVA Banco Frances,BBAR,NYSE,Finance,Banks - Foreign,YES,6.01,1.24,1227.46,12,3.1,,,1.81,,,
326,Banco Bradesco,BBDO,NYSE,Finance,Banks - Foreign,NO,3.01,0.9,32082.05,12,9.71,,,,,,
327,BridgeBio Pharma,BBIO,NSDQ,Medical,Medical - Generic Drugs,YES,32.04,0.79,5142.45,12,,,,-3.23,-3.39,-2.68,
334,BlackRock Capital Allocation T,BCAT,NYSE,Finance,Financial - Investment Funds,NO,15.2,0.72,1643.65,12,,,,,,,
339,Bank of Communications,BCMXY,OTC,Finance,Banks - Foreign,NO,14.08,0.08,41824.77,12,3.33,,,,,,
342,BioCryst Pharmaceuticals,BCRX,NSDQ,Medical,Medical - Drugs,YES,7.19,1.89,1358.44,12,,,,-1.15,-1.0,-0.48,
345,BGEO Group,BDGSF,OTC,Finance,Banks - Foreign,NO,39.15,0.66,1924.98,12,,,,,,,
348,Bloom Energy,BE,NYSE,Oils-Energy,Alternative Energy - Other,YES,18.42,2.86,3841.31,12,,,58.11,-0.61,-0.25,0.32,
349,Beam Therapeutics,BEAM,NSDQ,Medical,Medical - Biomedical and Genetics,YES,30.82,1.58,2349.02,12,,,,-4.86,-5.5,-5.9,
353,Brookfield Renewable Partners,BEP,NYSE,Utilities,Utility - Electric Power,YES,29.62,0.79,8555.65,12,,,255.35,-0.18,-0.15,0.12,
354,Brookfield Renewable,BEPC,NYSE,Oils-Energy,Alternative Energy - Other,YES,32.12,1.01,5770.6,12,,,,-0.48,-0.36,-0.16,
356,BE Semiconductor Industries,BESIY,OTC,Computer and Technology,Electronics - Manufacturing Machinery,NO,119.0,1.57,8628.69,12,45.08,,,,,,
357,Brown Forman,BF.A,NYSE,Consumer Staples,Beverages - Alcohol,YES,68.05,0.73,32620.76,4,36.01,,,,,,
363,BeiGene,BGNE,NSDQ,Medical,Medical - Biomedical and Genetics,YES,197.9,0.7,19125.74,12,,,,-17.68,-12.6,-8.88,
364,Biglari Holdings,BH.A,NYSE,Retail-Wholesale,Retail - Restaurants,NO,994.0,1.55,2261.85,12,8.29,,,,,,
369,Biohaven Ltd.,BHVN,NYSE,Medical,Medical - Biomedical and Genetics,YES,26.41,1.11,1801.82,12,,,,-9.82,-4.77,-4.57,
372,Bilibili,BILI,NSDQ,Computer and Technology,Internet - Services,YES,16.64,1.03,6499.66,12,,,,-2.61,-1.14,-0.4,
375,BioRad Laboratories,BIO.B,NYSE,Medical,Medical - Biomedical and Genetics,NO,387.55,0.67,11475.06,12,30.68,,,,,,
378,Brookfield Infrastructure,BIPC,NYSE,Utilities,Utility - Gas Distribution,YES,46.8,1.19,5180.0,12,,,,,,,
379,Birchcliff Energy,BIREF,OTC,Oils-Energy,Oil and Gas - Exploration and Production - Canadian,NO,5.649,0.87,1503.89,12,4.18,,,,,,
382,The Buckle,BKE,NYSE,Retail-Wholesale,Retail - Apparel and Shoes,YES,34.84,1.06,1757.89,1,7.15,,,,,,
385,Black Hills,BKH,NYSE,Utilities,Utility - Electric Power,YES,58.86,0.57,3939.71,12,15.09,15.78,,4.0,3.73,,7.17
386,Bank Hapoalim,BKHYY,OTC,Finance,Banks - Foreign,NO,44.88,1.0,12003.31,12,6.01,,,6.2,,,
394,Ballard Power Systems,BLDP,NSDQ,Computer and Technology,Electronics - Miscellaneous Components,YES,4.7,1.87,1403.34,12,,,,-0.61,-0.51,-0.53,
406,bioMerieux,BMXMF,OTC,Medical,Medical Services,NO,103.1,0.77,12203.04,12,,,,,,,
408,Brookfield Corporation,BN,NYSE,Finance,Real Estate - Operations,YES,34.21,1.42,56038.2,12,9.58,,,,,,
414,Bollore,BOIVF,OTC,Transportation,Transportation - Rail,NO,6.61,0.9,19367.3,12,,,,,,,
417,Borr Drilling,BORR,NYSE,Oils-Energy,Oil and Gas - Drilling,YES,7.73,3.22,1178.79,12,,,,,,,
418,Hugo Boss,BOSSY,OTC,Consumer Discretionary,Textile - Apparel,NO,16.9098,1.23,5952.25,12,25.24,,,0.71,,,
419,Bouygues,BOUYF,OTC,Industrial Products,Industrial Services,NO,32.05,0.77,61298.96,12,12.42,,,2.25,,,
420,Boardwalk Real Estate Investment Trust,BOWFF,OTC,Finance,REIT and Equity Trust - Residential,NO,49.0,1.34,2240.51,12,20.25,,,,,,
424,Banco Comercial Portugues,BPCGY,OTC,Finance,Banks - Foreign,NO,3.03,0.0,4579.54,12,,,,0.11,,,
425,Blueprint Medicines,BPMC,NSDQ,Medical,Medical - Biomedical and Genetics,YES,57.89,0.73,3500.45,12,,,,-9.41,-9.56,-7.77,
431,BRC INC,BRCC,NYSE,Consumer Staples,Consumer Products - Staples,YES,4.94,0.46,1046.07,12,,,112.27,-1.6,-0.08,0.04,
434,Berkshire Hathaway,BRK.A,NYSE,Finance,Insurance - Property and Casualty,NO,523500.0,0.88,758985.5,12,24.1,,,,,,
442,Braze,BRZE,NSDQ,Business Services,Technology Services,YES,43.02,1.05,4198.19,1,,,,-0.69,-0.52,-0.13,
446,Grupo Financiero Santander Mexico,BSMX,NYSE,Finance,Banks - Foreign,YES,5.46,1.07,7411.4,12,5.06,,,0.94,,,
