Company Name,Ticker,Exchange,Sector,Industry,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
"Agilent Technologies, Inc.",A,NYSE,Computer and Technology,Electronics - Testing Equipment,49179.05,10,42.76,39.23,35.16,3.22,4.13,4.61,0.2826086956521738,0.116222760290557,1.3881384615384622,3.0252249999999967,3.02
Apple Inc.,AAPL,NSDQ,Computer and Technology,Computer - Mini computers,2498038.5,9,29.57,27.04,26.53,3.24,5.59,5.7,0.7253086419753085,0.019677996422182525,0.3728068085106383,13.482063636363598,2.13
"Axcelis Technologies, Inc.",ACLS,NSDQ,Computer and Technology,Electronics - Manufacturing Machinery,1450.09,12,25.86,17.58,14.21,1.36,2.46,3.04,0.8088235294117645,0.23577235772357727,0.2173527272727273,0.6026999999999999,
Adobe Inc.,ADBE,NSDQ,Computer and Technology,Computer - Software,303438.22,11,55.15,52.19,45.49,9.94,12.2,14.0,0.22736418511066397,0.14754098360655746,2.2954362831858406,3.0832111111111096,2.78
"Analog Devices, Inc.",ADI,NSDQ,Computer and Technology,Semiconductor - Analog and Mixed,63095.22,10,29.6,27.23,24.72,4.78,6.28,6.92,0.3138075313807531,0.10191082802547766,0.8677293333333334,2.4256500000000014,2.22
"Autodesk, Inc.",ADSK,NSDQ,Computer and Technology,Computer - Software,72643.99,1,78.06,68.43,46.34,3.94,4.82,7.13,0.22335025380710669,0.47925311203319493,3.0637977272727266,0.9669212121212123,1.96
"ADTRAN, Inc.",ADTN,NSDQ,Computer and Technology,Communication - Infrastructure,1155.77,12,42.5,41.51,28.0,0.21,0.57,0.85,1.7142857142857142,0.4912280701754387,0.24214166666666667,0.5699999999999998,
"Advanced Energy Industries, Inc.",AEIS,NSDQ,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,3285.5,12,15.05,18.74,14.44,5.1,4.57,5.93,-0.10392156862745086,0.29759299781181603,-1.8032830188679265,0.48522647058823554,
"Agilysys, Inc.",AGYS,NSDQ,Computer and Technology,Computer - Integrated Systems,1320.81,3,57.17,80.21,70.71,0.76,0.67,0.76,-0.1184210526315789,0.13432835820895517,-6.773288888888891,5.2639666666666685,
"Akamai Technologies, Inc.",AKAM,NSDQ,Computer and Technology,Internet - Services,18767.77,12,21.19,20.5,18.62,5.2,5.62,6.19,0.08076923076923075,0.10142348754448403,2.538095238095239,1.835866666666666,1.71
"Allegro MicroSystems, Inc.",ALGM,NSDQ,Computer and Technology,Electronics - Semiconductors,5524.4,3,13.0,39.63,32.73,0.41,0.74,0.89,0.8048780487804879,0.20270270270270274,0.49237272727272724,1.6146799999999997,
"Applied Materials, Inc.",AMAT,NSDQ,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,120362.13,10,24.71,20.11,17.95,4.08,6.55,7.34,0.6053921568627451,0.12061068702290077,0.33218137651821866,1.488259493670886,1.12
"Ambarella, Inc.",AMBA,NSDQ,Computer and Technology,Electronics - Semiconductors,3524.82,1,186.85,101.92,78.26,0.27,0.95,1.24,2.518518518518518,0.3052631578947369,0.40468235294117655,2.5636896551724133,6.79
"Advanced Micro Devices, Inc.",AMD,NSDQ,Computer and Technology,Electronics - Semiconductors,130369.51,12,51.67,42.95,35.04,1.23,2.5,3.07,1.032520325203252,0.22799999999999992,0.41597244094488195,1.5368421052631582,0.96
"AMETEK, Inc.",AME,NYSE,Computer and Technology,Electronics - Testing Equipment,31816.21,12,31.93,29.47,26.31,3.91,4.67,5.23,0.19437340153452679,0.11991434689507506,1.5161539473684216,2.1940660714285696,2.8
"America Movil, S.A.B. de C.V.",AMX,NYSE,Computer and Technology,Wireless Non-US ,57557.1,12,11.77,13.41,13.66,0.6,1.29,1.27,1.1500000000000001,-0.015503875968992262,0.1166086956521739,-8.810699999999992,0.55
"Arista Networks, Inc.",ANET,NYSE,Computer and Technology,Communication - Components,28040.7,12,36.08,34.1,30.72,8.95,10.72,11.9,0.1977653631284918,0.11007462686567161,1.7242655367231623,2.7908338983050855,2.65
"ANSYS, Inc.",ANSS,NSDQ,Computer and Technology,Computer - Software,31690.12,12,49.82,51.56,45.97,6.24,7.04,7.9,0.12820512820512817,0.12215909090909095,4.021680000000002,3.7631255813953475,4.18
