Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Agilent Technologies,A,NYSE,Computer and Technology,Electronics - Testing Equipment,YES,118.25,1.03,34928.19,10,21.46,21.06,19.62,5.07,5.61,6.03,0.10650887573964497,0.07486631016042779,1.9772999999999996,2.620671428571429,1.91
Apple,AAPL,NSDQ,Computer and Technology,Computer - Mini computers,YES,193.99,1.28,3051211.0,9,32.94,32.35,29.3,6.11,6.0,6.62,-0.01800327332242231,0.10333333333333335,-17.968954545454494,2.835483870967742,2.59
Airbnb,ABNB,NSDQ,Computer and Technology,Internet - Content,YES,145.36,1.21,92951.15,12,48.29,41.16,35.41,2.59,3.53,4.1,0.36293436293436293,0.16147308781869685,1.1340893617021275,2.1929350877192983,1.99
ACI Worldwide,ACIW,NSDQ,Computer and Technology,Computer - Software,YES,24.25,1.1,2626.27,12,18.23,13.55,10.83,1.74,1.79,2.24,0.028735632183908073,0.2513966480446928,4.715399999999995,0.43079333333333325,
Axcelis Technologies,ACLS,NSDQ,Computer and Technology,Electronics - Manufacturing Machinery,YES,192.27,1.71,6289.37,12,33.91,29.7,25.85,5.2,6.47,7.44,0.24423076923076914,0.1499227202472953,1.2160629921259847,1.724221649484535,
Adobe,ADBE,NSDQ,Computer and Technology,Computer - Software,YES,522.0,1.32,237927.59,11,35.49,33.24,29.63,13.62,15.7,17.62,0.15271659324522763,0.12229299363057336,2.1765807692307693,2.422869791666664,2.51
Analog Devices,ADI,NSDQ,Computer and Technology,Semiconductor - Analog and Mixed,YES,196.36,1.15,98458.5,10,18.13,18.58,19.37,9.43,10.56,10.14,0.11983032873807008,-0.039772727272727265,1.550525663716813,-4.87017142857143,1.52
Autodesk,ADSK,NSDQ,Computer and Technology,Computer - Software,YES,213.73,1.51,45679.75,1,31.62,29.5,25.65,6.59,7.25,8.33,0.10015174506828531,0.14896551724137932,2.945530303030302,1.7218749999999998,1.21
Advanced Energy Industries,AEIS,NSDQ,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,YES,120.3,1.55,4515.31,12,18.51,25.23,20.42,6.38,4.77,5.89,-0.2523510971786834,0.23480083857442352,-0.9997975155279502,0.8696732142857142,
Akamai Technologies,AKAM,NSDQ,Computer and Technology,Internet - Services,YES,92.46,0.78,14072.61,12,17.19,16.04,14.77,5.26,5.77,6.26,0.09695817490494293,0.08492201039861356,1.6543215686274513,1.7392428571428562,1.6
Allegro MicroSystems,ALGM,NSDQ,Computer and Technology,Electronics - Semiconductors,YES,51.98,1.7,9967.53,3,40.93,37.26,33.75,1.27,1.39,1.54,0.09448818897637785,0.10791366906474831,3.9433500000000037,3.127499999999997,
Alight,ALIT,NYSE,Computer and Technology,Internet - Software,YES,9.74,0.73,5420.78,12,15.97,15.1,12.82,0.56,0.64,0.76,0.14285714285714277,0.1875,1.0570000000000006,0.6837333333333333,1.27
Applied Materials,AMAT,NSDQ,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,YES,145.5,1.58,122656.5,10,18.19,19.82,20.99,7.37,7.34,6.93,-0.004070556309362313,-0.05585831062670302,-48.69113333333293,-3.757721951219511,3.69
Advanced Micro Devices,AMD,NSDQ,Computer and Technology,Electronics - Semiconductors,YES,118.32,1.86,190538.02,12,39.31,42.0,29.46,3.49,2.82,4.02,-0.19197707736389694,0.42553191489361697,-2.1877611940298496,0.6923100000000002,6.88
AMETEK,AME,NYSE,Computer and Technology,Electronics - Testing Equipment,YES,157.9,1.23,36392.03,12,27.04,25.82,24.48,5.63,6.11,6.45,0.08525754884547077,0.055646481178396046,3.028470833333331,4.399200000000002,2.88
Amkor Technology,AMKR,NSDQ,Computer and Technology,Electronics - Semiconductors,YES,29.61,1.76,7272.22,12,11.39,17.42,11.84,3.14,1.7,2.5,-0.4585987261146497,0.4705882352941177,-0.37985277777777776,0.2516,
"America Movil, S.A.B. de C.V. Unsponsored ADR",AMX,NYSE,Computer and Technology,Wireless Non-US ,YES,21.27,0.88,67213.2,12,13.55,13.68,13.01,1.27,1.55,1.63,0.22047244094488191,0.051612903225806354,0.6204857142857142,2.5206875000000046,1.72
Arista Networks,ANET,NYSE,Computer and Technology,Communication - Components,YES,170.42,1.23,52537.55,12,32.96,29.02,26.56,4.38,5.87,6.42,0.34018264840182655,0.09369676320272569,0.8530711409395972,2.834676363636365,1.93
ANSYS,ANSS,NSDQ,Computer and Technology,Computer - Software,YES,347.83,1.23,30143.41,12,41.02,40.43,36.24,7.7,8.6,9.6,0.11688311688311681,0.11627906976744186,3.459011111111113,3.1166400000000003,8.09
Amphenol,APH,NYSE,Computer and Technology,Electronics - Connectors,YES,85.18,1.25,50709.27,12,28.2,29.67,26.92,2.97,2.87,3.16,-0.0336700336700337,0.10104529616724739,-8.811989999999993,2.6641517241379313,3.48
AppFolio,APPF,NSDQ,Computer and Technology,Internet - Software,YES,193.16,1.0,6854.44,12,2414.5,591.31,242.46,-0.1,0.33,0.8,-4.3,1.4242424242424243,-1.3751395348837208,1.7023787234042553,
Digital Turbine,APPS,NSDQ,Computer and Technology,Internet - Software,YES,11.0,2.41,1099.84,3,9.57,14.67,9.46,1.18,0.75,1.16,-0.3644067796610169,0.5466666666666665,-0.4025720930232558,0.17304878048780495,0.87
Arlo Technologies,ARLO,NYSE,Computer and Technology,Internet - Software,YES,11.4,1.63,1047.0,12,,48.51,35.63,-0.13,0.23,0.32,-2.769230769230769,0.3913043478260869,-0.175175,0.9105444444444447,
Arrow Electronics,ARW,NYSE,Computer and Technology,Electronics - Parts Distribution,YES,143.32,1.41,8095.92,12,6.66,8.85,9.52,22.34,16.2,15.05,-0.27484333034914954,-0.07098765432098757,-0.32200162866449505,-1.3410782608695668,2.22
ASGN,ASGN,NYSE,Computer and Technology,Computers - IT Services,YES,80.11,1.67,3949.42,12,12.54,13.75,11.97,6.56,5.83,6.7,-0.11128048780487798,0.14922813036020585,-1.2356164383561652,0.8021275862068965,2.71
ASML Holding,ASML,NSDQ,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,YES,754.49,1.44,297713.75,12,41.69,36.9,31.63,14.7,20.44,23.85,0.39047619047619064,0.1668297455968689,0.9449999999999995,1.8959448680351902,1.26
ASE Technology,ASX,NYSE,Computer and Technology,Electronics - Semiconductors,YES,8.26,1.22,18036.71,12,9.95,12.91,9.6,0.92,0.64,0.86,-0.30434782608695654,0.34374999999999994,-0.4241857142857142,0.27927272727272734,
A10 Networks,ATEN,NYSE,Computer and Technology,Communication - Network Software,YES,14.4,1.01,1065.6,12,20.28,18.0,14.55,0.69,0.8,0.99,0.15942028985507262,0.23749999999999993,1.129090909090908,0.6126315789473686,
Autohome,ATHM,NYSE,Computer and Technology,Internet - Services,YES,30.1,0.22,3778.91,12,11.71,12.19,12.15,2.44,2.47,2.48,0.012295081967213217,0.00404858299595133,9.91453333333325,30.010500000000643,
Altice USA,ATUS,NYSE,Computer and Technology,Communication - Components,YES,2.93,1.41,1332.23,12,17.24,9.45,8.88,1.02,0.31,0.33,-0.696078431372549,0.06451612903225812,-0.13576056338028167,1.3763999999999992,
Broadcom,AVGO,NSDQ,Computer and Technology,Electronics - Semiconductors,YES,910.35,1.08,375688.13,10,22.3,21.63,20.05,37.42,42.08,45.41,0.12453233564938526,0.07913498098859312,1.7368982832618038,2.533645645645647,1.6
Avid Technology,AVID,NSDQ,Computer and Technology,Computer - Software,YES,26.9,1.2,1181.12,12,21.69,16.63,13.64,1.43,1.62,1.97,0.132867132867133,0.2160493827160493,1.2516263157894723,0.6313371428571432,
Avnet,AVT,NSDQ,Computer and Technology,Electronics - Parts Distribution,YES,49.2,1.38,4496.85,6,6.1,8.52,7.39,7.63,5.77,6.66,-0.24377457404980346,0.1542461005199308,-0.3495032258064515,0.4791044943820221,0.59
Alteryx,AYX,NYSE,Computer and Technology,Internet - Software,YES,41.22,0.54,2903.94,12,294.43,60.98,37.17,-0.37,0.68,1.11,-2.837837837837838,0.6323529411764706,-0.21488190476190475,0.5878046511627907,
Aspen Technology,AZPN,NSDQ,Computer and Technology,Internet - Software,YES,177.12,0.93,11489.68,6,29.33,28.46,26.12,5.81,6.22,6.78,0.07056798623063686,0.0900321543408361,4.032990243902438,2.901185714285712,1.86
BlackBerry,BB,NYSE,Computer and Technology,Computer - Software,YES,4.83,1.55,2818.29,2,,87.82,322.0,-0.21,0.05,0.01,-1.2380952380952381,-0.7999999999999999,-0.7093153846153846,-4.025,
