Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
American Airlines,AAL,NSDQ,Transportation,Transportation - Airline,YES,18.18,1.56,11869.72,12,6.81,6.0,5.74,0.48,3.03,3.17,5.3125,0.04620462046204625,0.011294117647058824,1.2422999999999988,
Air Lease,AL,NYSE,Transportation,Transportation - Equipment and Leasing,YES,43.04,1.77,4778.1,12,10.45,9.17,7.2,-1.43,4.69,5.97,-4.27972027972028,0.2729211087420041,-0.021426633986928102,0.26381250000000017,0.65
Allegiant,ALGT,NSDQ,Transportation,Transportation - Airline,YES,122.19,1.68,2251.84,12,19.43,12.38,10.29,0.83,9.87,11.87,10.89156626506024,0.2026342451874367,0.011366592920353984,0.5078115,
Alaska Air Group,ALK,NYSE,Transportation,Transportation - Airline,YES,52.16,1.55,6671.83,12,10.39,7.98,7.01,4.33,6.54,7.44,0.5103926096997691,0.13761467889908263,0.1563502262443439,0.509393333333333,0.34
ArcBest,ARCB,NSDQ,Transportation,Transportation - Truck,YES,95.96,1.55,2298.55,12,7.91,12.27,9.42,13.81,7.82,10.18,-0.4337436640115858,0.3017902813299232,-0.2828859766277128,0.3121372881355933,
Grupo Aeroportuario del Sureste,ASR,NYSE,Transportation,Transportation - Services,YES,287.65,1.06,8629.5,12,16.34,14.07,13.54,16.27,20.44,21.25,0.25629993853718513,0.03962818003913888,0.5489661870503595,3.416760493827166,3.2
Air Transport Services Group,ATSG,NSDQ,Transportation,Transportation - Air Freight and Cargo,YES,19.75,0.8,1413.62,12,9.5,12.27,10.82,2.31,1.61,1.83,-0.303030303030303,0.13664596273291924,-0.40491000000000005,0.7918272727272728,
C.H. Robinson Worldwide,CHRW,NSDQ,Transportation,Transportation - Services,YES,94.85,0.78,11044.22,12,14.68,24.11,19.87,7.79,3.93,4.77,-0.49550706033376124,0.213740458015267,-0.4865722797927461,0.9296321428571436,3.29
Costamare,CMRE,NYSE,Transportation,Transportation - Shipping,YES,9.88,1.43,1212.14,12,3.5,3.88,3.42,3.38,2.55,2.89,-0.24556213017751483,0.13333333333333347,-0.1580048192771084,0.25649999999999973,
Canadian National Railway,CNI,NYSE,Transportation,Transportation - Rail,YES,117.56,0.91,77459.7,12,19.46,20.43,18.37,5.56,5.75,6.4,0.03417266187050367,0.11304347826086962,5.9784631578947245,1.6250384615384608,3.08
Canadian Pacific Kansas City Limited,CP,NYSE,Transportation,Transportation - Rail,YES,79.77,1.02,74294.23,12,27.04,26.74,22.36,2.76,2.98,3.57,0.07971014492753631,0.19798657718120802,3.354654545454542,1.129369491525424,2.72
Copa Holdings,CPA,NYSE,Transportation,Transportation - Airline,YES,115.71,1.29,4560.81,12,9.88,7.42,7.28,7.96,15.6,15.9,0.9597989949748743,0.019230769230769277,0.07730785340314136,3.7855999999999908,0.35
CSX,CSX,NSDQ,Transportation,Transportation - Rail,YES,33.22,1.23,67538.09,12,16.69,17.11,16.06,1.9,1.94,2.07,0.02105263157894739,0.06701030927835046,8.127249999999991,2.396646153846156,2.48
Danaos,DAC,NYSE,Transportation,Transportation - Shipping,YES,66.31,1.54,1349.39,12,2.18,2.3,2.33,34.56,28.84,28.52,-0.16550925925925933,-0.011095700416088776,-0.13896503496503487,-2.099912499999998,
Delta Air Lines,DAL,NYSE,Transportation,Transportation - Airline,YES,46.8,1.31,30111.98,12,7.91,7.28,6.24,3.03,6.43,7.49,1.1221122112211221,0.16485225505443243,0.06487764705882353,0.378520754716981,0.19
DHT,DHT,NYSE,Transportation,Transportation - Shipping,YES,8.8,-0.16,1434.28,12,12.94,8.11,6.62,0.16,1.09,1.33,5.8125,0.2201834862385321,0.01395268817204301,0.30065833333333336,
Euronav,EURN,NYSE,Transportation,Transportation - Shipping,YES,15.18,0.2,3061.5,12,7.59,5.78,6.23,0.94,2.63,2.44,1.797872340425532,-0.07224334600760454,0.032149112426035506,-0.8623631578947372,
Expeditors International of Washington,EXPD,NSDQ,Transportation,Transportation - Services,YES,122.01,1.0,18642.17,12,15.97,22.16,23.91,8.84,5.51,5.1,-0.3766968325791855,-0.07441016333938297,-0.5882714714714715,-3.2132707317073157,
FedEx,FDX,NYSE,Transportation,Transportation - Air Freight and Cargo,YES,254.73,1.35,64252.36,5,17.02,14.73,12.16,14.88,17.29,20.95,0.16196236559139773,0.21168305378831698,0.9094705394190878,0.5744437158469945,1.23
FRONTLINE PLC,FRO,NYSE,Transportation,Transportation - Shipping,YES,15.15,0.2,3372.74,12,6.26,5.46,6.64,1.65,2.78,2.28,0.6848484848484848,-0.1798561151079137,0.07972566371681417,-0.36918399999999996,
Forward Air,FWRD,NSDQ,Transportation,Transportation - Truck,YES,109.0,1.13,2829.49,12,15.59,19.33,16.48,7.49,5.64,6.61,-0.24699599465954614,0.171985815602837,-0.7826037837837835,0.9582185567010303,
GATX,GATX,NYSE,Transportation,Transportation - Equipment and Leasing,YES,129.7,1.05,4578.41,12,21.87,18.86,18.77,5.94,6.88,6.91,0.15824915824915817,0.004360465116279106,1.1917914893617028,43.045866666666306,
The Greenbrier Companies,GBX,NYSE,Transportation,Transportation - Equipment and Leasing,YES,43.53,1.66,1344.35,8,16.36,15.07,13.12,1.22,2.89,3.32,1.3688524590163935,0.14878892733564003,0.11009221556886226,0.8817860465116285,2.15
Golar LNG Limited,GLNG,NSDQ,Transportation,Transportation - Shipping,YES,23.52,0.67,1888.63,12,16.8,10.27,10.48,1.02,2.29,2.24,1.2450980392156863,-0.0218340611353711,0.08248346456692912,-4.799840000000017,
Golden Ocean Group,GOGL,NSDQ,Transportation,Transportation - Shipping,YES,7.46,1.24,1495.62,12,4.55,16.58,7.94,1.85,0.45,0.94,-0.7567567567567568,1.0888888888888888,-0.21909285714285712,0.07291836734693878,
GXO Logistics,GXO,NYSE,Transportation,Transportation - Air Freight and Cargo,YES,65.25,1.71,11814.98,12,23.73,25.92,22.0,2.77,2.52,2.97,-0.09025270758122744,0.17857142857142863,-2.8719360000000003,1.2319999999999995,2.16
Herc Holdings,HRI,NYSE,Transportation,Transportation - Equipment and Leasing,YES,142.24,2.52,4051.86,12,12.18,10.31,9.67,11.34,13.8,14.7,0.216931216931217,0.06521739130434771,0.47526585365853646,1.482733333333336,0.69
Heartland Express,HTLD,NSDQ,Transportation,Transportation - Truck,YES,15.17,0.59,1198.25,12,9.25,19.62,14.49,1.11,0.77,1.05,-0.30630630630630634,0.36363636363636365,-0.640535294117647,0.39847499999999997,
Hertz Global,HTZ,NSDQ,Transportation,Transportation - Services,YES,18.14,2.11,5718.45,12,5.69,7.16,9.35,3.67,2.53,1.94,-0.31062670299727524,-0.23320158102766794,-0.23050175438596487,-0.4009406779661018,
Hub Group,HUBG,NSDQ,Transportation,Transportation - Services,YES,79.19,0.9,2640.89,12,7.97,12.4,11.01,10.61,6.39,7.19,-0.39773798303487273,0.12519561815336475,-0.3117630331753555,0.8794237499999992,
International Seaways,INSW,NYSE,Transportation,Transportation - Shipping,YES,37.0,0.06,1821.51,12,3.3,3.83,4.56,7.28,9.65,8.11,0.32554945054945056,-0.15958549222797935,0.11764725738396624,-0.2857402597402596,
J.B. Hunt Transport Services,JBHT,NSDQ,Transportation,Transportation - Truck,YES,183.38,1.13,19006.92,12,20.84,22.19,19.58,9.73,8.26,9.37,-0.15107913669064754,0.13438256658595635,-1.468766666666666,1.4570342342342348,1.48
JetBlue Airways,JBLU,NSDQ,Transportation,Transportation - Airline,YES,7.96,1.66,2610.09,12,,10.82,6.54,-0.86,0.74,1.22,-1.86046511627907,0.6486486486486487,-0.058157499999999994,0.100825,
Kirby,KEX,NYSE,Transportation,Transportation - Shipping,YES,75.36,1.26,4521.6,12,30.26,21.07,15.84,2.08,3.58,4.76,0.7211538461538461,0.32960893854748596,0.2921706666666667,0.48056949152542383,1.76
